"cname1" "ename1" "pingfen1" "pingjia1" "link1" "cname2" "ename2" "pingfen2" "pingjia2" "link2" "cname3" "ename3" "pingfen3" "pingjia3" "link3" "cname4" "ename4" "pingfen4" "pingjia4" "link4" "cname5" "ename5" "pingfen5" "pingjia5" "link5" "cname6" "ename6" "pingfen6" "pingjia6" "link6" "cname7" "ename7" "pingfen7" "pingjia7" "link7" "cname8" "ename8" "pingfen8" "pingjia8" "link8" "cname9" "ename9" "pingfen9" "pingjia9" "link9" "cname10" "ename10" "pingfen10" "pingjia10" "link10"
"11" "海上钢琴师" "<U+00A0>/<U+00A0>La leggenda del pianista sull'oceano" "9.2" "每个人都要走一条自己坚定了的路，就算是粉身碎骨。 " "https://movie.douban.com/subject/1292001/" "两杆大烟枪" "<U+00A0>/<U+00A0>Lock, Stock and Two Smoking Barrels" "9.0" "4个臭皮匠顶个诸葛亮，盖·里奇果然不是盖的。" "https://movie.douban.com/subject/1293350/" "剪刀手爱德华" "<U+00A0>/<U+00A0>Edward Scissorhands" "8.7" "浪漫忧郁的成人童话。" "https://movie.douban.com/subject/1292370/" "上帝之城" "<U+00A0>/<U+00A0>Cidade de Deus" "8.9" "被上帝抛弃了的上帝之城。" "https://movie.douban.com/subject/1292208/" "穿条纹睡衣的男孩" "<U+00A0>/<U+00A0>The Boy in the Striped Pajamas" "8.8" "尽管有些不切实际的幻想，这部电影依旧是一部感人肺腑的佳作。" "https://movie.douban.com/subject/3008247/" "魂断蓝桥" "<U+00A0>/<U+00A0>Waterloo Bridge" "8.8" "中国式内在的美国电影。" "https://movie.douban.com/subject/1293964/" "一次别离" "<U+00A0>/<U+00A0><U+062C><U+062F><U+0627><U+06CC><U+06CC> <U+0646><U+0627><U+062F><U+0631> <U+0627><U+0632> <U+0633><U+06CC><U+0645><U+06CC><U+0646>" "8.7" "只有有信仰的人才能说出事实真相。" "https://movie.douban.com/subject/5964718/" "达拉斯买家俱乐部" "<U+00A0>/<U+00A0>Dallas Buyers Club" "8.6" "Jared Leto的腿比女人还美！" "https://movie.douban.com/subject/1793929/" "黄金三镖客" "<U+00A0>/<U+00A0>Il buono, il brutto, il cattivo." "9.1" "最棒的西部片。" "https://movie.douban.com/subject/1401118/" "疯狂的石头" "<U+00A0>/<U+00A0>Crazy Stone" "8.2" "中国版《两杆大烟枪》。" "https://movie.douban.com/subject/1862151/"
"12" "三傻大闹宝莱坞" "<U+00A0>/<U+00A0>3 Idiots" "9.1" "英俊版憨豆，高情商版谢耳朵。" "https://movie.douban.com/subject/3793023/" "飞屋环游记" "<U+00A0>/<U+00A0>Up" "8.9" "最后那些最无聊的事情，才是最值得怀念的。 " "https://movie.douban.com/subject/2129039/" "小鞋子" "<U+00A0>/<U+00A0><U+0628><U+0686><U+0647><U+0647><U+0627><U+06CC> <U+0622><U+0633><U+0645><U+0627><U+0646>" "9.2" "奔跑的孩子是天使。" "https://movie.douban.com/subject/1303021/" "甜蜜蜜" "<U+00A0>/<U+00A0>Comrades: Almost a Love Story" "8.7" "相逢只要一瞬间，等待却像是一辈子。" "https://movie.douban.com/subject/1305164/" "燃情岁月" "<U+00A0>/<U+00A0>Legends of the Fall" "8.8" "传奇，不是每个人都可以拥有。" "https://movie.douban.com/subject/1295865/" "恋恋笔记本" "<U+00A0>/<U+00A0>The Notebook" "8.5" "爱情没有那么多借口，如果不能圆满，只能说明爱的不够。 " "https://movie.douban.com/subject/1309163/" "碧海蓝天" "<U+00A0>/<U+00A0>Le grand bleu" "8.7" "在那片深蓝中，感受来自大海的忧伤寂寞与美丽自由。" "https://movie.douban.com/subject/1300960/" "魔女宅急便" "<U+00A0>/<U+00A0>魔女の宅急便" "8.4" "宫崎骏的电影总让人感觉世界是美好的，阳光明媚的。" "https://movie.douban.com/subject/1307811/" "非常嫌疑犯" "<U+00A0>/<U+00A0>The Usual Suspects" "8.6" "我不信仰上帝，但我敬畏上帝。" "https://movie.douban.com/subject/1292214/" "枪火" "<U+00A0>/<U+00A0>鎗火" "8.6" "一群演技精湛的戏骨，奉献出一个精致的黑帮小品，成就杜琪峰群戏的巅峰之作。" "https://movie.douban.com/subject/1300741/"
"13" "忠犬八公的故事" "<U+00A0>/<U+00A0>Hachi: A Dog's Tale" "9.2" "永远都不能忘记你所爱的人。" "https://movie.douban.com/subject/3011091/" "活着" "<U+00A0>/<U+00A0>人生  /  Lifetimes" "9.0" "张艺谋最好的电影。" "https://movie.douban.com/subject/1292365/" "饮食男女" "<U+00A0>/<U+00A0>飲食男女" "9.0" "人生不能像做菜，把所有的料都准备好了才下锅。" "https://movie.douban.com/subject/1291818/" "禁闭岛" "<U+00A0>/<U+00A0>Shutter Island" "8.6" "昔日翩翩少年，今日大腹便便。" "https://movie.douban.com/subject/2334904/" "菊次郎的夏天" "<U+00A0>/<U+00A0>菊次郎の夏" "8.7" "从没见过那么流氓的温柔，从没见过那么温柔的流氓。" "https://movie.douban.com/subject/1293359/" "猜火车" "<U+00A0>/<U+00A0>Trainspotting" "8.5" "不可猜的青春迷笛。 " "https://movie.douban.com/subject/1292528/" "秒速5厘米" "<U+00A0>/<U+00A0>秒速5センチメートル" "8.4" "青春就是放弃和怀念。" "https://movie.douban.com/subject/2043546/" "再次出发之纽约遇见你" "<U+00A0>/<U+00A0>Begin Again" "8.5" "爱我就给我看你的播放列表。" "https://movie.douban.com/subject/6874403/" "美国丽人" "<U+00A0>/<U+00A0>American Beauty" "8.4" "每个人的内心都是深不可测的大海。 " "https://movie.douban.com/subject/1292062/" "千钧一发" "<U+00A0>/<U+00A0>Gattaca" "8.7" "一部能引人思考的科幻励志片。" "https://movie.douban.com/subject/1300117/"
"14" "放牛班的春天" "<U+00A0>/<U+00A0>Les choristes" "9.2" "天籁一般的童声，是最接近上帝的存在。 " "https://movie.douban.com/subject/1291549/" "飞越疯人院" "<U+00A0>/<U+00A0>One Flew Over the Cuckoo's Nest" "9.0" "自由万岁。" "https://movie.douban.com/subject/1292224/" "音乐之声" "<U+00A0>/<U+00A0>The Sound of Music" "8.9" "用音乐化解仇恨，让歌声串起美好。" "https://movie.douban.com/subject/1294408/" "致命ID" "<U+00A0>/<U+00A0>Identity" "8.6" "最不可能的那个人永远是最可能的。" "https://movie.douban.com/subject/1297192/" "倩女幽魂" "<U+00A0>/<U+00A0>倩女幽魂(87版)  /  A Chinese Ghost Story" "8.6" "两张绝世的脸。 " "https://movie.douban.com/subject/1297447/" "喜宴" "<U+00A0>/<U+00A0>The Wedding Banquet" "8.8" "中国家庭的喜怒哀乐忍。" "https://movie.douban.com/subject/1303037/" "罗生门" "<U+00A0>/<U+00A0>羅生門" "8.7" "人生的N种可能性。" "https://movie.douban.com/subject/1291879/" "卡萨布兰卡" "<U+00A0>/<U+00A0>Casablanca" "8.6" "与同名歌曲无关。" "https://movie.douban.com/subject/1296753/" "上帝也疯狂" "<U+00A0>/<U+00A0>The Gods Must Be Crazy" "8.6" "纯净原始的笑与感动。" "https://movie.douban.com/subject/1297478/" "中央车站" "<U+00A0>/<U+00A0>Central do Brasil" "8.7" "心灵救赎。" "https://movie.douban.com/subject/1292218/"
"15" "大话西游之大圣娶亲" "<U+00A0>/<U+00A0>西遊記大結局之仙履奇緣" "9.2" "一生所爱。" "https://movie.douban.com/subject/1292213/" "窃听风暴" "<U+00A0>/<U+00A0>Das Leben der Anderen" "9.1" "别样人生。" "https://movie.douban.com/subject/1900841/" "低俗小说" "<U+00A0>/<U+00A0>Pulp Fiction" "8.7" "故事的高级讲法。" "https://movie.douban.com/subject/1291832/" "告白" "<U+00A0>/<U+00A0>自白  /  母亲" "8.6" "没有一人完全善，也没有一人完全恶。" "https://movie.douban.com/subject/4268598/" "消失的爱人" "<U+00A0>/<U+00A0>Gone Girl" "8.7" "0" "https://movie.douban.com/subject/21318488/" "英雄本色" "<U+00A0>/<U+00A0>A Better Tomorrow  /  Gangland Boss" "8.7" "英雄泪短，兄弟情长。 " "https://movie.douban.com/subject/1297574/" "梦之安魂曲" "<U+00A0>/<U+00A0>Requiem for a Dream" "8.7" "一场没有春天的噩梦。" "https://movie.douban.com/subject/1292270/" "爆裂鼓手" "<U+00A0>/<U+00A0>Whiplash" "8.6" "现实与童话交相辉映的旅程。" "https://movie.douban.com/subject/25773932/" "城市之光" "<U+00A0>/<U+00A0>City Lights" "9.2" "永远的小人物，伟大的卓别林。" "https://movie.douban.com/subject/1293908/" "爱在暹罗" "<U+00A0>/<U+00A0><U+0E23><U+0E31><U+0E01><U+0E41><U+0E2B><U+0E48><U+0E07><U+0E2A><U+0E22><U+0E32><U+0E21>" "8.3" "把爱放在心底，有爱就有希望。" "https://movie.douban.com/subject/2365260/"
"16" "教父" "<U+00A0>/<U+00A0>The Godfather" "9.2" "千万不要记恨你的对手，这样会让你失去理智。" "https://movie.douban.com/subject/1291841/" "海豚湾" "<U+00A0>/<U+00A0>The Cove" "9.3" "海豚的微笑，是世界上最高明的伪装。" "https://movie.douban.com/subject/3442220/" "入殓师" "<U+00A0>/<U+00A0>おくりびと" "8.8" "死可能是一道门，逝去并不是终结，而是超越，走向下一程。" "https://movie.douban.com/subject/2149806/" "一一" "<U+00A0>/<U+00A0>Yi yi  /  Yi yi: A One and a Two" "8.9" "我们都曾经是一一。" "https://movie.douban.com/subject/1292434/" "神偷奶爸" "<U+00A0>/<U+00A0>Despicable Me" "8.5" "Mr. I Don't Care其实也有Care的时候。" "https://movie.douban.com/subject/3287562/" "傲慢与偏见" "<U+00A0>/<U+00A0>Pride & Prejudice" "8.4" "爱是摈弃傲慢与偏见之后的曙光。" "https://movie.douban.com/subject/1418200/" "战争之王" "<U+00A0>/<U+00A0>Lord of War" "8.5" "做一颗让别人需要你的棋子。" "https://movie.douban.com/subject/1419936/" "燕尾蝶" "<U+00A0>/<U+00A0>スワロウテイル" "8.6" "0" "https://movie.douban.com/subject/1307793/" "无耻混蛋" "<U+00A0>/<U+00A0>Inglourious Basterds" "8.4" "昆汀同学越来越变态了，比北野武还杜琪峰。" "https://movie.douban.com/subject/1438652/" "爱在午夜降临前" "<U+00A0>/<U+00A0>Before Midnight" "8.7" "所谓爱情，就是话唠一路，都不会心生腻烦，彼此嫌弃。" "https://movie.douban.com/subject/10808442/"
"17" "龙猫" "<U+00A0>/<U+00A0>となりのトトロ" "9.1" "人人心中都有个龙猫，童年就永远不会消失。" "https://movie.douban.com/subject/1291560/" "闻香识女人" "<U+00A0>/<U+00A0>Scent of a Woman" "8.9" "史上最美的探戈。" "https://movie.douban.com/subject/1298624/" "本杰明·巴顿奇事" "<U+00A0>/<U+00A0>The Curious Case of Benjamin Button" "8.7" "在时间之河里感受溺水之苦。" "https://movie.douban.com/subject/1485260/" "加勒比海盗" "<U+00A0>/<U+00A0>Pirates of the Caribbean: The Curse of the Black Pearl" "8.6" "约翰尼·德普的独角戏。" "https://movie.douban.com/subject/1298070/" "电锯惊魂" "<U+00A0>/<U+00A0>Saw" "8.6" "真相就在眼前。" "https://movie.douban.com/subject/1417598/" "雨中曲" "<U+00A0>/<U+00A0>Singin' in the Rain" "8.9" "骨灰级歌舞片。" "https://movie.douban.com/subject/1293460/" "可可西里" "<U+00A0>/<U+00A0>Kekexili: Mountain Patrol" "8.6" "0" "https://movie.douban.com/subject/1308857/" "未麻的部屋" "<U+00A0>/<U+00A0>Perfect Blue" "8.8" "好的剧本是，就算你猜到了结局也猜不到全部。" "https://movie.douban.com/subject/1395091/" "初恋这件小事" "<U+00A0>/<U+00A0><U+0E2A><U+0E34><U+0E48><U+0E07><U+0E40><U+0E25><U+0E47><U+0E01><U+0E40><U+0E25><U+0E47><U+0E01><U+0E17><U+0E35><U+0E48><U+0E40><U+0E23><U+0E35><U+0E22><U+0E01><U+0E27><U+0E48><U+0E32>...<U+0E23><U+0E31><U+0E01>" "8.2" "黑小鸭速效美白记。" "https://movie.douban.com/subject/4739952/" "月球" "<U+00A0>/<U+00A0>Moon" "8.5" "2009媲美《第九区》的又一部科幻神作。" "https://movie.douban.com/subject/3073124/"
"18" "楚门的世界" "<U+00A0>/<U+00A0>The Truman Show" "9.0" "如果再也不能见到你，祝你早安，午安，晚安。" "https://movie.douban.com/subject/1292064/" "V字仇杀队" "<U+00A0>/<U+00A0>V for Vendetta" "8.8" "一张面具背后的理想与革命。" "https://movie.douban.com/subject/1309046/" "沉默的羔羊" "<U+00A0>/<U+00A0>The Silence of the Lambs" "8.7" "安东尼·霍普金斯的顶级表演。" "https://movie.douban.com/subject/1293544/" "爱在黎明破晓前" "<U+00A0>/<U+00A0>Before Sunrise" "8.7" "缘分是个连绵词，最美不过一瞬。" "https://movie.douban.com/subject/1296339/" "谍影重重3" "<U+00A0>/<U+00A0>The Bourne Ultimatum" "8.7" "像吃了苏打饼一样干脆的电影。" "https://movie.douban.com/subject/1578507/" "教父3" "<U+00A0>/<U+00A0>The Godfather: Part III" "8.7" "0" "https://movie.douban.com/subject/1294240/" "心迷宫" "<U+00A0>/<U+00A0>殡棺  /  The Coffin in the Mountain" "8.6" "坚硬的信仰。" "https://movie.douban.com/subject/25917973/" "东京物语" "<U+00A0>/<U+00A0>東京物語" "9.2" "东京那么大，如果有一天走失了，恐怕一辈子不能再相见。" "https://movie.douban.com/subject/1291568/" "勇士" "<U+00A0>/<U+00A0>Warrior" "8.9" "热血沸腾，相当完美的娱乐拳击大餐。" "https://movie.douban.com/subject/3217169/" "寿司之神" "<U+00A0>/<U+00A0>Jiro Dreams of Sushi" "8.8" "仪式主义的狂欢，偏执狂的完胜。" "https://movie.douban.com/subject/6146955/"
"19" "乱世佳人" "<U+00A0>/<U+00A0>Gone with the Wind" "9.2" "Tomorrow is another day." "https://movie.douban.com/subject/1300267/" "美丽心灵" "<U+00A0>/<U+00A0>A Beautiful Mind" "8.9" "爱是一切逻辑和原由。" "https://movie.douban.com/subject/1306029/" "蝴蝶效应" "<U+00A0>/<U+00A0>The Butterfly Effect" "8.7" "人的命运被自己瞬间的抉择改变。" "https://movie.douban.com/subject/1292343/" "狩猎" "<U+00A0>/<U+00A0>Jagten" "9.0" "人言可畏。" "https://movie.douban.com/subject/6985810/" "真爱至上" "<U+00A0>/<U+00A0>Love Actually" "8.5" "爱，是个动词。" "https://movie.douban.com/subject/1292401/" "小森林 夏秋篇" "<U+00A0>/<U+00A0>リトル<U+30FB>フォレスト 夏<U+30FB>秋" "8.9" "任何信念的力量，都无法改变命运。" "https://movie.douban.com/subject/25814705/" "唐伯虎点秋香" "<U+00A0>/<U+00A0>唐伯虎點秋香" "8.3" "0" "https://movie.douban.com/subject/1306249/" "牯岭街少年杀人事件" "<U+00A0>/<U+00A0>牯嶺街少年殺人事件" "8.7" "弱者送给弱者的一刀。" "https://movie.douban.com/subject/1292329/" "爱·回家" "<U+00A0>/<U+00A0><U+C9D1><U+C73C><U+B85C>..." "9.0" "献给所有外婆的电影。" "https://movie.douban.com/subject/1299361/" "我爱你" "<U+00A0>/<U+00A0><U+ADF8><U+B300><U+B97C> <U+C0AC><U+B791><U+D569><U+B2C8><U+B2E4>" "9.0" "你要相信，这世上真的有爱存在，不管在什么年纪 " "https://movie.douban.com/subject/5908478/"
"20" "天堂电影院" "<U+00A0>/<U+00A0>Nuovo Cinema Paradiso" "9.1" "那些吻戏，那些青春，都在影院的黑暗里被泪水冲刷得无比清晰。" "https://movie.douban.com/subject/1291828/" "教父2" "<U+00A0>/<U+00A0>The Godfather: Part Ⅱ" "9.1" "优雅的孤独。" "https://movie.douban.com/subject/1299131/" "黑客帝国" "<U+00A0>/<U+00A0>The Matrix" "8.8" "视觉革命。" "https://movie.douban.com/subject/1291843/" "布达佩斯大饭店" "<U+00A0>/<U+00A0>The Grand Budapest Hotel" "8.7" "小清新的故事里注入了大历史的情怀。" "https://movie.douban.com/subject/11525673/" "岁月神偷" "<U+00A0>/<U+00A0>歲月神偷" "8.6" "岁月流逝，来日可追。" "https://movie.douban.com/subject/3792799/" "完美的世界" "<U+00A0>/<U+00A0>A Perfect World" "9.0" "坏人的好总是比好人的好来得更感人。" "https://movie.douban.com/subject/1300992/" "超能陆战队" "<U+00A0>/<U+00A0>Big Hero 6" "8.6" "华太师是黄霑，吴镇宇四大才子之一。" "https://movie.douban.com/subject/11026735/" "这个男人来自地球" "<U+00A0>/<U+00A0>The Man from Earth" "8.5" "科幻真正的魅力不是视觉效果能取代的。 " "https://movie.douban.com/subject/2300586/" "蓝色大门" "<U+00A0>/<U+00A0>藍色大門" "8.2" "青春的窃窃私语。 " "https://movie.douban.com/subject/1308575/" "两小无猜" "<U+00A0>/<U+00A0>Jeux d'enfants" "8.1" "Love me, if you dare. " "https://movie.douban.com/subject/1308817/"
"21" "当幸福来敲门" "<U+00A0>/<U+00A0>The Pursuit of Happyness" "8.9" "平民励志片。 " "https://movie.douban.com/subject/1849031/" "哈尔的移动城堡" "<U+00A0>/<U+00A0>ハウルの動く城" "8.8" "带着心爱的人在天空飞翔。" "https://movie.douban.com/subject/1308807/" "拯救大兵瑞恩" "<U+00A0>/<U+00A0>Saving Private Ryan" "8.8" "美利坚精神输出大片No1." "https://movie.douban.com/subject/1292849/" "阿凡达" "<U+00A0>/<U+00A0>Avatar" "8.6" "绝对意义上的美轮美奂。" "https://movie.douban.com/subject/1652587/" "借东西的小人阿莉埃蒂" "<U+00A0>/<U+00A0>借りぐらしのアリエッティ" "8.7" "曾经的那段美好会沉淀为一辈子的记忆。" "https://movie.douban.com/subject/4202302/" "喜剧之王" "<U+00A0>/<U+00A0>喜劇之王" "8.4" "我是一个演员。" "https://movie.douban.com/subject/1302425/" "时空恋旅人" "<U+00A0>/<U+00A0>About Time" "8.6" "把每天当作最后一天般珍惜度过，积极拥抱生活，就是幸福。" "https://movie.douban.com/subject/10577869/" "英国病人" "<U+00A0>/<U+00A0>The English Patient" "8.4" "In memory, love lives forever..." "https://movie.douban.com/subject/1291853/" "曾经" "<U+00A0>/<U+00A0>Once" "8.3" "有些幸福无关爱情。" "https://movie.douban.com/subject/2053515/" "罪恶之城" "<U+00A0>/<U+00A0>Sin City" "8.4" "权力不是来自枪和子弹，权力来自谎言。" "https://movie.douban.com/subject/1309027/"
"22" "触不可及" "<U+00A0>/<U+00A0>Intouchables" "9.1" "满满温情的高雅喜剧。" "https://movie.douban.com/subject/6786002/" "指环王2：双塔奇兵" "<U+00A0>/<U+00A0>The Lord of the Rings: The Two Towers" "8.9" "承前启后的史诗篇章。" "https://movie.douban.com/subject/1291572/" "玛丽和马克思" "<U+00A0>/<U+00A0>Mary and Max" "8.9" "你是我最好的朋友，你是我唯一的朋友 。" "https://movie.douban.com/subject/3072124/" "断背山" "<U+00A0>/<U+00A0>Brokeback Mountain" "8.6" "每个人心中都有一座断背山。" "https://movie.douban.com/subject/1418834/" "雨人" "<U+00A0>/<U+00A0>Rain Man" "8.6" "生活在自己的世界里，也可以让周围的人显得可笑和渺小。" "https://movie.douban.com/subject/1291870/" "纵横四海" "<U+00A0>/<U+00A0>緃横四海" "8.7" "香港浪漫主义警匪动作片的巅峰之作。" "https://movie.douban.com/subject/1295409/" "海盗电台" "<U+00A0>/<U+00A0>The Boat That Rocked" "8.6" "生命不止，摇滚不死。" "https://movie.douban.com/subject/3007773/" "变脸" "<U+00A0>/<U+00A0>Face/Off" "8.4" "当发哥的风衣、墨镜出现在了凯奇身上<U+22EF><U+22EF>" "https://movie.douban.com/subject/1292659/" "无敌破坏王" "<U+00A0>/<U+00A0>Wreck-It Ralph" "8.6" "迪士尼和皮克斯拿错剧本的产物。" "https://movie.douban.com/subject/6534248/" "廊桥遗梦" "<U+00A0>/<U+00A0>The Bridges of Madison County" "8.5" "这样确切的爱，一生只有一次。" "https://movie.douban.com/subject/1293929/"
"23" "搏击俱乐部" "<U+00A0>/<U+00A0>Fight Club" "9.0" "邪恶与平庸蛰伏于同一个母体，在特定的时间互相对峙。" "https://movie.douban.com/subject/1292000/" "指环王1：魔戒再现" "<U+00A0>/<U+00A0>The Lord of the Rings: The Fellowship of the Ring" "8.9" "传说的开始。" "https://movie.douban.com/subject/1291571/" "西西里的美丽传说" "<U+00A0>/<U+00A0>Malèna" "8.7" "美丽无罪。" "https://movie.douban.com/subject/1292402/" "风之谷" "<U+00A0>/<U+00A0>風の谷のナウシカ" "8.8" "动画片的圣经。" "https://movie.douban.com/subject/1291585/" "虎口脱险" "<U+00A0>/<U+00A0>La grande vadrouille" "8.9" "永远看不腻的喜剧。" "https://movie.douban.com/subject/1296909/" "玩具总动员3" "<U+00A0>/<U+00A0>Toy Story 3" "8.7" "跨度十五年的欢乐与泪水。" "https://movie.douban.com/subject/1858711/" "谍影重重2" "<U+00A0>/<U+00A0>The Bourne Supremacy" "8.5" "谁说王家卫镜头很晃？" "https://movie.douban.com/subject/1308767/" "被解救的姜戈" "<U+00A0>/<U+00A0>Django Unchained" "8.5" "热血沸腾，那个低俗、性感的无耻混蛋又来了。" "https://movie.douban.com/subject/6307447/" "麦兜故事" "<U+00A0>/<U+00A0>麥兜故事" "8.5" "麦兜是一只很哲学的猪。 " "https://movie.douban.com/subject/1302476/" "假如爱有天意" "<U+00A0>/<U+00A0><U+D074><U+B798><U+C2DD>" "8.2" "琼瑶阿姨在韩国的深刻版。" "https://movie.douban.com/subject/1304073/"
"24" "十二怒汉" "<U+00A0>/<U+00A0>12 Angry Men" "9.3" "1957年的理想主义。 " "https://movie.douban.com/subject/1293182/" "天使爱美丽" "<U+00A0>/<U+00A0>Le fabuleux destin d'Amélie Poulain" "8.7" "法式小清新。 " "https://movie.douban.com/subject/1292215/" "素媛" "<U+00A0>/<U+00A0><U+C18C><U+C6D0>" "9.1" "受过伤害的人总是笑得最开心，因为他们不愿意让身边的人承受一样的痛苦。" "https://movie.douban.com/subject/21937452/" "萤火虫之墓" "<U+00A0>/<U+00A0>火垂るの墓" "8.7" "幸福是生生不息，却难以触及的远。 " "https://movie.douban.com/subject/1293318/" "七武士" "<U+00A0>/<U+00A0>七人の侍" "9.1" "时代悲歌。" "https://movie.douban.com/subject/1295399/" "萤火之森" "<U+00A0>/<U+00A0>蛍火の杜へ" "8.7" "触不到的恋人。" "https://movie.douban.com/subject/5989818/" "谍影重重" "<U+00A0>/<U+00A0>The Bourne Identity" "8.5" "哗啦啦啦啦，天在下雨，哗啦啦啦啦，云在哭泣……找自己。" "https://movie.douban.com/subject/1304102/" "终结者2：审判日" "<U+00A0>/<U+00A0>Terminator 2: Judgment Day" "8.5" "少见的超越首部的续集，动作片中的经典。" "https://movie.douban.com/subject/1291844/" "暖暖内含光" "<U+00A0>/<U+00A0>Eternal Sunshine of the Spotless Mind" "8.4" "恋爱是一次神经的冒险。就算失去记忆，也会爱上你。" "https://movie.douban.com/subject/1308777/" "黑鹰坠落" "<U+00A0>/<U+00A0>Black Hawk Down" "8.5" "还原真实而残酷的战争。" "https://movie.douban.com/subject/1291824/"
"25" "无间道" "<U+00A0>/<U+00A0>無間道" "9.0" "香港电影史上永不过时的杰作。" "https://movie.douban.com/subject/1307914/" "情书" "<U+00A0>/<U+00A0>Love Letter" "8.8" "暗恋的极致。" "https://movie.douban.com/subject/1292220/" "心灵捕手" "<U+00A0>/<U+00A0>Good Will Hunting" "8.7" "人生中应该拥有这样的一段豁然开朗。" "https://movie.douban.com/subject/1292656/" "摩登时代" "<U+00A0>/<U+00A0>Modern Times" "9.2" "大时代中的人生，小人物的悲喜。" "https://movie.douban.com/subject/1294371/" "恐怖直播" "<U+00A0>/<U+00A0><U+B354> <U+D14C><U+B7EC> <U+B77C><U+C774><U+BE0C>" "8.7" "恐怖分子的“秋菊打官司”。" "https://movie.douban.com/subject/21360417/" "人工智能" "<U+00A0>/<U+00A0>Artificial Intelligence: AI" "8.6" "对爱的执着，可以超越一切。" "https://movie.douban.com/subject/1302827/" "蝙蝠侠：黑暗骑士崛起" "<U+00A0>/<U+00A0>The Dark Knight Rises" "8.5" "诺兰就是保证。" "https://movie.douban.com/subject/3395373/" "末路狂花" "<U+00A0>/<U+00A0>Thelma & Louise" "8.7" "没有了退路，只好飞向自由。" "https://movie.douban.com/subject/1291992/" "蝴蝶" "<U+00A0>/<U+00A0>Le Papillon" "8.6" "我们长途跋涉寻找的东西，有可能一直就在身边。 " "https://movie.douban.com/subject/1292056/" "角斗士" "<U+00A0>/<U+00A0>Gladiator" "8.4" "罗马斗兽场的鸦雀无声，久久停留在这样的肃穆中。" "https://movie.douban.com/subject/1293530/"
