"movie_title","movie_detail","movie_num","movie_evaluate","link"
"忠犬八公的故事","
                            导演: 莱塞·霍尔斯道姆 Lasse Hallstr<U+00F6>m<U+00A0><U+00A0><U+00A0>主演: 理查·基尔 Richard Ger...
                            2009<U+00A0>/<U+00A0>美国 英国<U+00A0>/<U+00A0>剧情
                        ","9.2","427744人评价","https://movie.douban.com/subject/3011091/"
"放牛班的春天","
                            导演: 克里斯托夫·巴拉蒂 Christophe Barratier<U+00A0><U+00A0><U+00A0>主演: 杰拉尔·朱诺 Géra...
                            2004<U+00A0>/<U+00A0>法国 瑞士 德国<U+00A0>/<U+00A0>剧情 音乐
                        ","9.2","430550人评价","https://movie.douban.com/subject/1291549/"
"大话西游之大圣娶亲","
                            导演: 刘镇伟 Jeffrey Lau<U+00A0><U+00A0><U+00A0>主演: 周星驰 Stephen Chow / 吴孟达 Man Tat Ng...
                            1995<U+00A0>/<U+00A0>香港 中国大陆<U+00A0>/<U+00A0>动作 冒险 喜剧 奇幻 爱情
                        ","9.2","462680人评价","https://movie.douban.com/subject/1292213/"
"教父","
                            导演: 弗朗西斯·福特·科波拉 Francis Ford Coppola<U+00A0><U+00A0><U+00A0>主演: 马龙·白兰度 M...
                            1972<U+00A0>/<U+00A0>美国<U+00A0>/<U+00A0>剧情 犯罪
                        ","9.2","328295人评价","https://movie.douban.com/subject/1291841/"
"龙猫","
                            导演: 宫崎骏 Hayao Miyazaki<U+00A0><U+00A0><U+00A0>主演: 日高法子 Noriko Hidaka / 坂本千夏 Ch...
                            1988<U+00A0>/<U+00A0>日本<U+00A0>/<U+00A0>动画 奇幻
                        ","9.1","399309人评价","https://movie.douban.com/subject/1291560/"
"楚门的世界","
                            导演: 彼得·威尔 Peter Weir<U+00A0><U+00A0><U+00A0>主演: 金·凯瑞 Jim Carrey / 劳拉·琳妮 Lau...
                            1998<U+00A0>/<U+00A0>美国<U+00A0>/<U+00A0>剧情 科幻
                        ","9.0","425907人评价","https://movie.douban.com/subject/1292064/"
"乱世佳人","
                            导演: 维克多·弗莱明 Victor Fleming / 乔治·库克 George Cukor<U+00A0><U+00A0><U+00A0>主演: 托...
                            1939<U+00A0>/<U+00A0>美国<U+00A0>/<U+00A0>剧情 爱情 战争
                        ","9.2","260196人评价","https://movie.douban.com/subject/1300267/"
"天堂电影院","
                            导演: 朱塞佩·托纳多雷 Giuseppe Tornatore<U+00A0><U+00A0><U+00A0>主演: 安东娜拉·塔莉 Antonel...
                            1988<U+00A0>/<U+00A0>意大利 法国<U+00A0>/<U+00A0>剧情 爱情
                        ","9.1","297297人评价","https://movie.douban.com/subject/1291828/"
"当幸福来敲门","
                            导演: 加布里尔·穆奇诺 Gabriele Muccino<U+00A0><U+00A0><U+00A0>主演: 威尔·史密斯 Will Smith ...
                            2006<U+00A0>/<U+00A0>美国<U+00A0>/<U+00A0>剧情 传记 家庭
                        ","8.9","515551人评价","https://movie.douban.com/subject/1849031/"
"触不可及","
                            导演: 奥利维·那卡什 Olivier Nakache / 艾力克·托兰达 Eric Toledano<U+00A0><U+00A0><U+00A0>主...
                            2011<U+00A0>/<U+00A0>法国<U+00A0>/<U+00A0>剧情 喜剧
                        ","9.1","348812人评价","https://movie.douban.com/subject/6786002/"
"搏击俱乐部","
                            导演: 大卫·芬奇 David Fincher<U+00A0><U+00A0><U+00A0>主演: 爱德华·诺顿 Edward Norton / 布拉...
                            1999<U+00A0>/<U+00A0>美国 德国<U+00A0>/<U+00A0>剧情 动作 悬疑 惊悚
                        ","9.0","390112人评价","https://movie.douban.com/subject/1292000/"
"十二怒汉","
                            导演: Sidney Lumet<U+00A0><U+00A0><U+00A0>主演: 亨利·方达 Henry Fonda / 马丁·鲍尔萨姆 Marti...
                            1957<U+00A0>/<U+00A0>美国<U+00A0>/<U+00A0>剧情
                        ","9.3","162086人评价","https://movie.douban.com/subject/1293182/"
"无间道","
                            导演: 刘伟强 / 麦兆辉<U+00A0><U+00A0><U+00A0>主演: 刘德华 / 梁朝伟 / 黄秋生
                            2002<U+00A0>/<U+00A0>香港<U+00A0>/<U+00A0>犯罪 悬疑 惊悚
                        ","9.0","377445人评价","https://movie.douban.com/subject/1307914/"
"指环王3：王者无敌","
                            导演: 彼得·杰克逊 Peter Jackson<U+00A0><U+00A0><U+00A0>主演: 维果·莫腾森 Viggo Mortensen / ...
                            2003<U+00A0>/<U+00A0>美国 新西兰<U+00A0>/<U+00A0>剧情 动作 奇幻 冒险
                        ","9.1","273575人评价","https://movie.douban.com/subject/1291552/"
"熔炉","
                            导演: 黄东赫 Dong-hyuk Hwang<U+00A0><U+00A0><U+00A0>主演: 孔侑 Yoo Gong / 郑有美 Yu-mi Jeong ...
                            2011<U+00A0>/<U+00A0>韩国<U+00A0>/<U+00A0>剧情
                        ","9.2","228314人评价","https://movie.douban.com/subject/5912992/"
"怦然心动","
                            导演: 罗伯·莱纳 Rob Reiner<U+00A0><U+00A0><U+00A0>主演: 玛德琳·卡罗尔 Madeline Carroll / 卡...
                            2010<U+00A0>/<U+00A0>美国<U+00A0>/<U+00A0>剧情 喜剧 爱情
                        ","8.9","513882人评价","https://movie.douban.com/subject/3319755/"
"天空之城","
                            导演: 宫崎骏 Hayao Miyazaki<U+00A0><U+00A0><U+00A0>主演: 田中真弓 Mayumi Tanaka / 鹫尾真知子 ...
                            1986<U+00A0>/<U+00A0>日本<U+00A0>/<U+00A0>动画 奇幻 冒险
                        ","9.0","316494人评价","https://movie.douban.com/subject/1291583/"
"罗马假日","
                            导演: 威廉·惠勒 William Wyler<U+00A0><U+00A0><U+00A0>主演: 奥黛丽·赫本 Audrey Hepburn / 格...
                            1953<U+00A0>/<U+00A0>美国<U+00A0>/<U+00A0>喜剧 剧情 爱情
                        ","8.9","369356人评价","https://movie.douban.com/subject/1293839/"
"少年派的奇幻漂流","
                            导演: 李安 Ang Lee<U+00A0><U+00A0><U+00A0>主演: 苏拉·沙玛 Suraj Sharma / 拉菲·斯波 Rafe Spa...
                            2012<U+00A0>/<U+00A0>美国 台湾 英国 加拿大<U+00A0>/<U+00A0>剧情 奇幻 冒险
                        ","9.0","556036人评价","https://movie.douban.com/subject/1929463/"
"大话西游之月光宝盒","
                            导演: 刘镇伟 Jeffrey Lau<U+00A0><U+00A0><U+00A0>主演: 周星驰 Stephen Chow / 吴孟达 Man Tat Ng...
                            1995<U+00A0>/<U+00A0>香港 中国大陆<U+00A0>/<U+00A0>喜剧 动作 爱情 奇幻 冒险 古装
                        ","8.9","376215人评价","https://movie.douban.com/subject/1299398/"
"鬼子来了","
                            导演: 姜文 Wen Jiang<U+00A0><U+00A0><U+00A0>主演: 姜文 Wen Jiang / 香川照之 Teruyuki Kagawa /...
                            2000<U+00A0>/<U+00A0>中国大陆<U+00A0>/<U+00A0>剧情 战争
                        ","9.1","214774人评价","https://movie.douban.com/subject/1291858/"
"蝙蝠侠：黑暗骑士","
                            导演: 克里斯托弗·诺兰 Christopher Nolan<U+00A0><U+00A0><U+00A0>主演: 克里斯蒂安·贝尔 Christ...
                            2008<U+00A0>/<U+00A0>美国 英国<U+00A0>/<U+00A0>剧情 动作 科幻 犯罪 惊悚
                        ","9.0","299856人评价","https://movie.douban.com/subject/1851857/"
"星际穿越","
                            导演: 克里斯托弗·诺兰 Christopher Nolan<U+00A0><U+00A0><U+00A0>主演: 马修·麦康纳 Matthew Mc...
                            2014<U+00A0>/<U+00A0>美国 英国 加拿大<U+00A0>/<U+00A0>剧情 科幻 悬疑 冒险 家庭
                        ","9.1","455810人评价","https://movie.douban.com/subject/1889243/"
"两杆大烟枪","
                            导演: Guy Ritchie<U+00A0><U+00A0><U+00A0>主演: Jason Flemyng / Dexter Fletcher / Nick Moran
                            1998<U+00A0>/<U+00A0>英国<U+00A0>/<U+00A0>剧情 喜剧 犯罪
                        ","9.0","262241人评价","https://movie.douban.com/subject/1293350/"
"飞屋环游记","
                            导演: 彼特·道格特 Pete Docter<U+00A0><U+00A0><U+00A0>主演: 爱德华·阿斯纳 Edward Asner / 克...
                            2009<U+00A0>/<U+00A0>美国<U+00A0>/<U+00A0>剧情 喜剧 动画 奇幻 冒险
                        ","8.9","478329人评价","https://movie.douban.com/subject/2129039/"
"活着","
                            导演: 张艺谋 Yimou Zhang<U+00A0><U+00A0><U+00A0>主演: 葛优 You Ge / 巩俐 Li Gong / 姜武 Wu Jiang
                            1994<U+00A0>/<U+00A0>中国大陆 香港<U+00A0>/<U+00A0>剧情 家庭
                        ","9.0","248797人评价","https://movie.douban.com/subject/1292365/"
