"title" "link" "director" "star" "quote"
                            导演: 莱塞·霍尔斯道姆 Lasse Hallstr<U+00F6>m<U+00A0><U+00A0><U+00A0>主演: 理查·基尔 Richard Ger...
                            2009<U+00A0>/<U+00A0>美国 英国<U+00A0>/<U+00A0>剧情
                        " "9.0" "香港电影史上永不过时的杰作。"
"26" "肖申克的救赎" "https://movie.douban.com/subject/1292052/" "
                                永远都不能忘记你所爱的人。
                            " "9.6" "希望让人自由。"
"27" "这个杀手不太冷" "https://movie.douban.com/subject/1295644/" "
                            导演: 克里斯托夫·巴拉蒂 Christophe Barratier<U+00A0><U+00A0><U+00A0>主演: 杰拉尔·朱诺 Géra...
                            2004<U+00A0>/<U+00A0>法国 瑞士 德国<U+00A0>/<U+00A0>剧情 音乐
                        " "9.4" "怪蜀黍和小萝莉不得不说的故事。"
"28" "霸王别姬" "https://movie.douban.com/subject/1291546/" "
                                天籁一般的童声，是最接近上帝的存在。 
                            " "9.5" "风华绝代。"
"29" "阿甘正传" "https://movie.douban.com/subject/1292720/" "
                            导演: 刘镇伟 Jeffrey Lau<U+00A0><U+00A0><U+00A0>主演: 周星驰 Stephen Chow / 吴孟达 Man Tat Ng...
                            2017<U+00A0>/<U+00A0>香港 中国大陆<U+00A0>/<U+00A0>动作 冒险 喜剧 奇幻 爱情
                        " "9.4" "一部美国近现代史。"
"30" "美丽人生" "https://movie.douban.com/subject/1292063/" "
                                一生所爱。
                            " "9.5" "最美的谎言。"
"31" "千与千寻" "https://movie.douban.com/subject/1291561/" "
                            导演: 弗朗西斯·福特·科波拉 Francis Ford Coppola<U+00A0><U+00A0><U+00A0>主演: 马龙·白兰度 M...
                            1972<U+00A0>/<U+00A0>美国<U+00A0>/<U+00A0>剧情 犯罪
                        " "9.2" "最好的宫崎骏，最好的久石让。 "
"32" "辛德勒的名单" "https://movie.douban.com/subject/1295124/" "
                                千万不要记恨你的对手，这样会让你失去理智。
                            " "9.4" "拯救一个人，就是拯救整个世界。"
"33" "泰坦尼克号" "https://movie.douban.com/subject/1292722/" "
                            导演: 宫崎骏 Hayao Miyazaki<U+00A0><U+00A0><U+00A0>主演: 日高法子 Noriko Hidaka / 坂本千夏 Ch...
                            1988<U+00A0>/<U+00A0>日本<U+00A0>/<U+00A0>动画 奇幻
                        " "9.2" "失去的才是永恒的。 "
"34" "盗梦空间" "https://movie.douban.com/subject/3541415/" "
                                人人心中都有个龙猫，童年就永远不会消失。
                            " "9.2" "诺兰给了我们一场无法盗取的梦。"
