"movie_title" "movie_detail" "movie_num" "movie_evaluate" "link"
                        " "9.0" "316402人评价" "https://movie.douban.com/subject/1291583/"
"30" "罗马假日" "
                            导演: 威廉·惠勒 William Wyler<U+00A0><U+00A0><U+00A0>主演: 奥黛丽·赫本 Audrey Hepburn / 格...
                            1953<U+00A0>/<U+00A0>美国<U+00A0>/<U+00A0>喜剧 剧情 爱情
                        " "8.9" "369248人评价" "https://movie.douban.com/subject/1293839/"
"31" "少年派的奇幻漂流" "
                            导演: 李安 Ang Lee<U+00A0><U+00A0><U+00A0>主演: 苏拉·沙玛 Suraj Sharma / 拉菲·斯波 Rafe Spa...
                            2012<U+00A0>/<U+00A0>美国 台湾 英国 加拿大<U+00A0>/<U+00A0>剧情 奇幻 冒险
                        " "9.0" "555911人评价" "https://movie.douban.com/subject/1929463/"
"32" "大话西游之月光宝盒" "
                            导演: 刘镇伟 Jeffrey Lau<U+00A0><U+00A0><U+00A0>主演: 周星驰 Stephen Chow / 吴孟达 Man Tat Ng...
                            1995<U+00A0>/<U+00A0>香港 中国大陆<U+00A0>/<U+00A0>喜剧 动作 爱情 奇幻 冒险 古装
                        " "8.9" "376082人评价" "https://movie.douban.com/subject/1299398/"
"33" "鬼子来了" "
                            导演: 姜文 Wen Jiang<U+00A0><U+00A0><U+00A0>主演: 姜文 Wen Jiang / 香川照之 Teruyuki Kagawa /...
                            2000<U+00A0>/<U+00A0>中国大陆<U+00A0>/<U+00A0>剧情 战争
                        " "9.1" "214685人评价" "https://movie.douban.com/subject/1291858/"
"34" "蝙蝠侠：黑暗骑士" "
                            导演: 克里斯托弗·诺兰 Christopher Nolan<U+00A0><U+00A0><U+00A0>主演: 克里斯蒂安·贝尔 Christ...
                            2008<U+00A0>/<U+00A0>美国 英国<U+00A0>/<U+00A0>剧情 动作 科幻 犯罪 惊悚
                        " "9.0" "299746人评价" "https://movie.douban.com/subject/1851857/"
"35" "星际穿越" "
                            导演: 克里斯托弗·诺兰 Christopher Nolan<U+00A0><U+00A0><U+00A0>主演: 马修·麦康纳 Matthew Mc...
                            2014<U+00A0>/<U+00A0>美国 英国 加拿大<U+00A0>/<U+00A0>剧情 科幻 悬疑 冒险 家庭
                        " "9.1" "455652人评价" "https://movie.douban.com/subject/1889243/"
"36" "两杆大烟枪" "
                            导演: Guy Ritchie<U+00A0><U+00A0><U+00A0>主演: Jason Flemyng / Dexter Fletcher / Nick Moran
                            1998<U+00A0>/<U+00A0>英国<U+00A0>/<U+00A0>剧情 喜剧 犯罪
                        " "9.0" "262172人评价" "https://movie.douban.com/subject/1293350/"
"37" "飞屋环游记" "
                            导演: 彼特·道格特 Pete Docter<U+00A0><U+00A0><U+00A0>主演: 爱德华·阿斯纳 Edward Asner / 克...
