"","电影名","链接","导演","主演","发行年份","发行国家","影片类型","影片评分","评价人数"
"112","燃情岁月","https://movie.douban.com/subject/1295865/","导演:爱德华·兹威克EdwardZwick   主演:安东尼·霍普金斯AnthonyHopki...","主演:安东尼·霍普金斯AnthonyHopki...","1994","美国","剧情爱情西部家庭","8.8","141935人评价"
"113","菊次郎的夏天","https://movie.douban.com/subject/1293359/","导演:北野武TakeshiKitano   主演:北野武TakeshiKitano/关口雄介Yus...","主演:北野武TakeshiKitano/关口雄介Yus...","1999","日本","剧情喜剧","8.7","164639人评价"
"114","倩女幽魂","https://movie.douban.com/subject/1297447/","导演:程小东Siu-TungChing   主演:张国荣LeslieCheung/王祖贤JoeyW...","主演:张国荣LeslieCheung/王祖贤JoeyW...","1987","香港","剧情爱情武侠古装","8.6","227613人评价"
"115","消失的爱人","https://movie.douban.com/subject/21318488/","导演:大卫·芬奇DavidFincher   主演:本·阿弗莱克BenAffleck/罗莎蒙...","主演:本·阿弗莱克BenAffleck/罗莎蒙...","2014","美国","剧情犯罪悬疑惊悚","8.7","321707人评价"
"116","神偷奶爸","https://movie.douban.com/subject/3287562/","导演:皮艾尔·柯芬PierreCoffin/克里斯·雷纳德ChrisRenaud   主演:...","主演:...","2010","美国","儿童喜剧动画","8.5","344046人评价"
"117","电锯惊魂","https://movie.douban.com/subject/1417598/","导演:詹姆斯·温JamesWan   主演:雷·沃纳尔LeighWhannell/加利·艾...","主演:雷·沃纳尔LeighWhannell/加利·艾...","2004","美国澳大利亚","犯罪悬疑惊悚","8.6","185398人评价"
"118","谍影重重3","https://movie.douban.com/subject/1578507/","导演:保罗·格林格拉斯PaulGreengrass   主演:马特·达蒙MattDamon/...","主演:马特·达蒙MattDamon/...","2007","美国德国","动作悬疑冒险","8.7","168725人评价"
"119","真爱至上","https://movie.douban.com/subject/1292401/","导演:理查德·柯蒂斯RichardCurtis   主演:休·格兰特HughGrant/柯林...","主演:休·格兰特HughGrant/柯林...","2003","英国美国法国","喜剧剧情爱情","8.5","291472人评价"
"120","岁月神偷","https://movie.douban.com/subject/3792799/","导演:罗启锐AlexLaw   主演:吴君如SandraNg/任达华SimonYam/钟绍...","主演:吴君如SandraNg/任达华SimonYam/钟绍...","2010","香港中国大陆","剧情家庭","8.6","288402人评价"
"121","借东西的小人阿莉埃蒂","https://movie.douban.com/subject/4202302/","导演:米林宏昌HiromasaYonebayashi   主演:志田未来MiraiShida/神木...","主演:志田未来MiraiShida/神木...","2010","日本","动画奇幻冒险","8.7","201022人评价"
"122","雨人","https://movie.douban.com/subject/1291870/","导演:巴瑞·莱文森BarryLevinson   主演:达斯汀·霍夫曼DustinHoffman...","主演:达斯汀·霍夫曼DustinHoffman...","1988","美国","剧情","8.6","197568人评价"
"123","虎口脱险","https://movie.douban.com/subject/1296909/","导演:杰拉尔·乌里GérardOury   主演:路易·德·菲耐斯LouisdeFunès...","主演:路易·德·菲耐斯LouisdeFunès...","1966","法国英国","喜剧战争","8.9","100713人评价"
"124","七武士","https://movie.douban.com/subject/1295399/","导演:黑泽明AkiraKurosawa   主演:三船敏郎Toshir<U+00F4>Mifune/志村乔...","主演:三船敏郎Toshir<U+00F4>Mifune/志村乔...","1954","日本","动作冒险剧情","9.1","69745人评价"
"125","恐怖直播","https://movie.douban.com/subject/21360417/","导演:金秉祐Byeong-wooKim   主演:河正宇Jung-wooHa/李璟荣Kyeong-y...","主演:河正宇Jung-wooHa/李璟荣Kyeong-y...","2013","韩国","剧情犯罪悬疑","8.7","193709人评价"
"126","贫民窟的百万富翁","https://movie.douban.com/subject/2209573/","导演:丹尼·鲍尔DannyBoyle/洛芙琳·坦丹LoveleenTandan   主演:戴夫...","主演:戴夫...","2008","英国美国","剧情爱情","8.5","375336人评价"
"127","东邪西毒","https://movie.douban.com/subject/1292328/","导演:王家卫KarWaiWong   主演:张国荣LeslieCheung/张曼玉MaggieC...","主演:张国荣LeslieCheung/张曼玉MaggieC...","1994","香港台湾","剧情动作爱情武侠古装","8.6","233079人评价"
"128","记忆碎片","https://movie.douban.com/subject/1304447/","导演:克里斯托弗·诺兰ChristopherNolan   主演:盖·皮尔斯GuyPearce/...","主演:盖·皮尔斯GuyPearce/...","2000","美国","犯罪剧情悬疑惊悚","8.5","257701人评价"
"129","疯狂原始人","https://movie.douban.com/subject/1907966/","导演:科克·德·米科KirkDeMicco/克里斯·桑德斯ChrisSanders   主演...","主演...","2013","美国","喜剧动画冒险","8.7","347983人评价"
"130","杀人回忆","https://movie.douban.com/subject/1300299/","导演:奉俊昊Joon-hoBong   主演:宋康昊Kang-hoSong/金相庆Sang-kyun...","主演:宋康昊Kang-hoSong/金相庆Sang-kyun...","2003","韩国","犯罪剧情悬疑惊悚","8.6","189918人评价"
"131","怪兽电力公司","https://movie.douban.com/subject/1291579/","导演:彼特·道格特PeteDocter/大卫·斯沃曼DavidSilverman   主演:约...","主演:约...","2001","美国","喜剧动画儿童奇幻","8.6","220107人评价"
"132","红辣椒","https://movie.douban.com/subject/1865703/","导演:今敏SatoshiKon   主演:林原惠美MegumiHayashibara/古谷彻T...","主演:林原惠美MegumiHayashibara/古谷彻T...","2006","日本","动画悬疑科幻惊悚","8.8","114929人评价"
"133","卢旺达饭店","https://movie.douban.com/subject/1291822/","导演:特瑞·乔治TerryGeorge   主演:唐·钱德尔DonCheadle/苏菲·奥...","主演:唐·钱德尔DonCheadle/苏菲·奥...","2004","英国南非意大利美国","剧情历史战争","8.8","109198人评价"
"134","穿越时空的少女","https://movie.douban.com/subject/1937946/","导演:细田守MamoruHosoda   主演:仲里依纱RiisaNaka/石田卓也Takuya...","主演:仲里依纱RiisaNaka/石田卓也Takuya...","2006","日本","剧情爱情科幻动画","8.6","172604人评价"
"135","黑天鹅","https://movie.douban.com/subject/1978709/","导演:达伦·阿罗诺夫斯基DarrenAronofsky   主演:娜塔丽·波曼NatalieP...","主演:娜塔丽·波曼NatalieP...","2010","美国","剧情惊悚","8.5","389499人评价"
"136","魂断蓝桥","https://movie.douban.com/subject/1293964/","导演:MervynLeRoy   主演:VivienLeigh/RobertTaylor/LucileWatson","主演:VivienLeigh/RobertTaylor/LucileWatson","1940","美国","剧情战争爱情","8.8","121835人评价"
"137","恋恋笔记本","https://movie.douban.com/subject/1309163/","导演:尼克·卡索维茨NickCassavetes   主演:瑞恩·高斯林RyanGosling/...","主演:瑞恩·高斯林RyanGosling/...","2004","美国","剧情爱情","8.5","258653人评价"
"138","猜火车","https://movie.douban.com/subject/1292528/","导演:丹尼·鲍尔DannyBoyle   主演:伊万·麦克格雷格EwanMcGregor/艾...","主演:伊万·麦克格雷格wanMcGregor/艾...","1996","英国","犯罪剧情","8.5","228558人评价"
"139","喜宴","https://movie.douban.com/subject/1303037/","导演:李安   主演:赵文瑄/归亚蕾/金素梅","主演:赵文瑄/归亚蕾/金素梅","1993","台湾美国","剧情喜剧爱情同性家庭","8.8","124373人评价"
"140","英雄本色","https://movie.douban.com/subject/1297574/","导演:吴宇森JohnWoo   主演:周润发Yun-FatChow/狄龙LungTi/张国...","主演:周润发Yun-FatChow/狄龙LungTi/张国...","1986","香港","动作犯罪","8.7","135643人评价"
"141","傲慢与偏见","https://movie.douban.com/subject/1418200/","导演:乔·怀特JoeWright   主演:凯拉·奈特莉KeiraKnightley/马修·...","主演:凯拉·奈特莉KeiraKnightley/马修·...","2005","法国英国美国","剧情爱情","8.4","277405人评价"
"142","雨中曲","https://movie.douban.com/subject/1293460/","导演:StanleyDonen/GeneKelly   主演:GeneKelly/DonaldO'Connor/...","主演:GeneKelly/DonaldO'Connor/...","1952","美国","喜剧歌舞爱情","8.9","86661人评价"
"143","教父3","https://movie.douban.com/subject/1294240/","导演:弗朗西斯·福特·科波拉FrancisFordCoppola   主演:阿尔·帕西诺A...","主演:阿尔·帕西诺A...","1990","美国","剧情犯罪","8.7","119138人评价"
"144","小森林 夏秋篇","https://movie.douban.com/subject/25814705/","导演:森淳一JunichiMori   主演:桥本爱AiHashimoto/三浦贵大Takahir...","主演:桥本爱AiHashimoto/三浦贵大Takahir...","2014","日本","剧情","8.9","110028人评价"
"145","完美的世界","https://movie.douban.com/subject/1300992/","导演:克林特·伊斯特伍德ClintEastwood   主演:凯文·科斯特纳KevinCos...","主演:凯文·科斯特纳KevinCos...","1993","美国","剧情犯罪","9.0","72322人评价"
"146","喜剧之王","https://movie.douban.com/subject/1302425/","导演:周星驰StephenChow/李力持Lik-ChiLee   主演:周星驰StephenCh...","主演:周星驰StephenCh...","1999","香港","喜剧剧情爱情","8.4","278438人评价"
"147","纵横四海","https://movie.douban.com/subject/1295409/","导演:吴宇森JohnWoo   主演:周润发Yun-FatChow/张国荣LeslieCheung...","主演:周润发Yun-FatChow/张国荣LeslieCheung...","1991","香港","剧情喜剧动作犯罪","8.7","129956人评价"
"148","玩具总动员3","https://movie.douban.com/subject/1858711/","导演:李·昂克里奇LeeUnkrich   主演:汤姆·汉克斯TomHanks/蒂姆·艾...","主演:汤姆·汉克斯TomHanks/蒂姆·艾...","2010","美国","喜剧动画奇幻冒险","8.7","181109人评价"
"149","萤火之森","https://movie.douban.com/subject/5989818/","导演:大森贵弘TakahiroOmori   主演:佐仓绫音AyaneSakura/内山昂辉K...","主演:佐仓绫音AyaneSakura/内山昂辉K...","2011","日本","剧情爱情动画奇幻","8.7","140567人评价"
"150","人工智能","https://movie.douban.com/subject/1302827/","导演:史蒂文·斯皮尔伯格StevenSpielberg   主演:海利·乔·奥斯蒙Haley...","主演:海利·乔·奥斯蒙Haley...","2001","美国","冒险剧情科幻","8.6","176711人评价"
"151","我是山姆","https://movie.douban.com/subject/1306861/","导演:杰茜·尼尔森JessieNelson   主演:SeanPenn/DakotaFanning/Mi...","主演:SeanPenn/DakotaFanning/Mi...","2001","美国","剧情家庭","8.8","93002人评价"
"152","香水","https://movie.douban.com/subject/1760622/","导演:汤姆·提克威TomTykwer   主演:本·卫肖BenWhishaw/艾伦·瑞克...","主演:本·卫肖BenWhishaw/艾伦·瑞克...","2006","德国法国西班牙美国","剧情犯罪奇幻","8.4","255684人评价"
"153","浪潮","https://movie.douban.com/subject/2297265/","导演:丹尼斯·甘塞尔DennisGansel   主演:尤尔根·沃格尔JürgenVogel...","主演:尤尔根·沃格尔JürgenVogel...","2008","德国","剧情惊悚","8.7","119472人评价"
"154","冰川时代","https://movie.douban.com/subject/1291578/","导演:卡洛斯·沙尔丹哈CarlosSaldanha/克里斯·韦奇ChrisWedge   主演...","主演...","2002","美国","喜剧动画冒险","8.4","251165人评价"
"155","7号房的礼物","https://movie.douban.com/subject/10777687/","导演:李焕庆Hwan-kyeongLee   主演:柳承龙Seung-yongRyoo/朴信惠Shi...","主演:柳承龙Seung-yongRyoo/朴信惠Shi...","2013","韩国","剧情喜剧家庭","8.7","154421人评价"
"156","撞车","https://movie.douban.com/subject/1388216/","导演:保罗·哈吉斯PaulHaggis   主演:桑德拉·布洛克SandraBullock/...","主演:桑德拉·布洛克SandraBullock/...","2004","美国德国","犯罪剧情","8.6","163074人评价"
"157","哈利·波特与死亡圣器(下)","https://movie.douban.com/subject/3011235/","导演:大卫·叶茨DavidYates   主演:丹尼尔·雷德克里夫DanielRadcliffe...","主演:丹尼尔·雷德克里夫DanielRadcliffe...","2011","美国英国","剧情悬疑奇幻冒险","8.6","252377人评价"
"158","花样年华","https://movie.douban.com/subject/1291557/","导演:王家卫KarWaiWong   主演:梁朝伟TonyLeungChiuWai/张曼玉Ma...","主演:梁朝伟TonyLeungChiuWai/张曼玉Ma...","2000","香港法国","剧情爱情","8.4","223431人评价"
"159","朗读者","https://movie.douban.com/subject/2213597/","导演:史蒂芬·戴德利StephenDaldry   主演:凯特·温丝莱特KateWinslet...","主演:凯特·温丝莱特KateWinslet...","2008","美国德国","剧情爱情","8.5","262102人评价"
"160","追随","https://movie.douban.com/subject/1397546/","导演:克里斯托弗·诺兰ChristopherNolan   主演:杰里米·西奥伯德Jeremy...","主演:杰里米·西奥伯德Jeremy...","1998","英国","犯罪悬疑惊悚","9.0","72399人评价"
"161","一次别离","https://movie.douban.com/subject/5964718/","导演:阿斯哈·法哈蒂AsgharFarhadi   主演:佩曼·莫阿迪PeymanMoadi/...","主演:佩曼·莫阿迪PeymanMoadi/...","2011","伊朗法国","剧情家庭","8.7","121720人评价"
"162","碧海蓝天","https://movie.douban.com/subject/1300960/","导演:LucBesson   主演:Jean-MarcBarr/JeanReno/RosannaArquette","主演:Jean-MarcBarr/JeanReno/RosannaArquette","1988","法国美国意大利","剧情爱情","8.7","102933人评价"
"163","秒速5厘米","https://movie.douban.com/subject/2043546/","导演:新海诚MakotoShinkai   主演:水桥研二KenjiMizuhashi/近藤好美...","主演:水桥研二KenjiMizuhashi/近藤好美...","2007","日本","动画剧情爱情","8.4","268376人评价"
"164","罗生门","https://movie.douban.com/subject/1291879/","导演:黑泽明AkiraKurosawa   主演:三船敏郎Toshir<U+00F4>Mifune/千秋实...","主演:三船敏郎Toshir<U+00F4>Mifune/千秋实...","1950","日本","犯罪剧情悬疑","8.7","111794人评价"
"165","梦之安魂曲","https://movie.douban.com/subject/1292270/","导演:达伦·阿伦诺夫斯基DarrenAronofsky   主演:艾伦·伯斯汀EllenBur...","主演:艾伦·伯斯汀llenBur...","2000","美国","剧情","8.7","102008人评价"
"166","战争之王","https://movie.douban.com/subject/1419936/","导演:安德鲁·尼科尔AndrewNiccol   主演:尼古拉斯·凯奇NicolasCage/...","主演:尼古拉斯·凯奇NicolasCage/...","2005","美国法国","剧情犯罪","8.5","161881人评价"
"167","可可西里","https://movie.douban.com/subject/1308857/","导演:陆川ChuanLu   主演:多布杰Duobujie/张磊LeiZhang/亓亮QiL...","主演:多布杰Duobujie/张磊LeiZhang/亓亮QiL...","2004","中国大陆香港","剧情犯罪","8.6","118905人评价"
"168","心迷宫","https://movie.douban.com/subject/25917973/","导演:忻钰坤YukunXin   主演:霍卫民WeiminHuo/王笑天XiaotianWang...","主演:霍卫民WeiminHuo/王笑天XiaotianWang...","2014","中国大陆","剧情犯罪悬疑","8.6","137474人评价"
"169","唐伯虎点秋香","https://movie.douban.com/subject/1306249/","导演:李力持Lik-ChiLee   主演:周星驰StephenChow/巩俐LiGong/陈...","主演:周星驰StephenChow/巩俐LiGong/陈...","1993","香港","喜剧爱情古装","8.3","287547人评价"
"170","超能陆战队","https://movie.douban.com/subject/11026735/","导演:唐·霍尔DonHall/克里斯·威廉姆斯ChrisWilliams   主演:斯科特...","主演:斯科特...","2014","美国","喜剧动作科幻动画冒险","8.6","334645人评价"
"171","时空恋旅人","https://movie.douban.com/subject/10577869/","导演:理查德·柯蒂斯RichardCurtis   主演:多姆纳尔·格利森DomhnallGl...","主演:多姆纳尔·格利森DomhnallGl...","2013","英国","剧情爱情奇幻","8.6","174979人评价"
"172","海盗电台","https://movie.douban.com/subject/3007773/","导演:理查德·柯蒂斯RichardCurtis   主演:比尔·奈伊BillNighy/肯尼...","主演:比尔·奈伊BillNighy/肯尼...","2009","英国德国法国","剧情喜剧音乐","8.6","157097人评价"
"173","谍影重重2","https://movie.douban.com/subject/1308767/","导演:保罗·格林格拉斯PaulGreengrass   主演:马特·达蒙MattDamon/...","主演:马特·达蒙MattDamon/...","2004","美国德国","动作悬疑冒险","8.5","146636人评价"
"174","谍影重重","https://movie.douban.com/subject/1304102/","导演:道格·里曼DougLiman   主演:马特·达蒙MattDamon/弗兰卡·波坦...","主演:马特·达蒙MattDamon/弗兰卡·波坦...","2002","美国德国捷克","动作悬疑冒险","8.5","177196人评价"
"175","蝙蝠侠：黑暗骑士崛起","https://movie.douban.com/subject/3395373/","导演:克里斯托弗·诺兰ChristopherNolan   主演:克里斯蒂安·贝尔Christ...","主演:克里斯蒂安·贝尔Christ...","2012","美国英国","剧情动作科幻犯罪惊悚","8.5","270740人评价"
"176","阿飞正传","https://movie.douban.com/subject/1305690/","导演:王家卫KarWaiWong   主演:张国荣LeslieCheung/张曼玉MaggieC...","主演:张国荣LeslieCheung/张曼玉MaggieC...","1990","香港","犯罪剧情爱情","8.5","162330人评价"
"177","荒蛮故事","https://movie.douban.com/subject/24750126/","导演:达米安·斯兹弗隆DamiánSzifron   主演:达里奥·葛兰帝内提Darío...","主演:达里奥·葛兰帝内提Darío...","2014","阿根廷西班牙","剧情喜剧犯罪","8.7","113041人评价"
"178","地球上的星星","https://movie.douban.com/subject/2363506/","导演:阿米尔·汗AamirKhan/阿莫尔·古普特AmoleGupte   主演:达席尔...","主演:达席尔...","2007","印度","剧情儿童家庭","8.8","72774人评价"
"179","小森林 冬春篇","https://movie.douban.com/subject/25814707/","导演:森淳一JunichiMori   主演:桥本爱AiHashimoto/三浦贵大Takahir...","主演:桥本爱AiHashimoto/三浦贵大Takahir...","2015","日本","剧情","8.9","94997人评价"
"180","迁徙的鸟","https://movie.douban.com/subject/1292281/","导演:雅克·贝汉JacquesPerrin/雅克·克鲁奥德JacquesCluzaud   主演:...","主演:...","2001","法国德国意大利西班牙瑞士","纪录片","9.1","49108人评价"
"181","荒野生存","https://movie.douban.com/subject/1905462/","导演:西恩·潘SeanPenn   主演:埃米尔·赫斯基EmileHirsch/马西娅·...","主演:埃米尔·赫斯基mileHirsch/马西娅·...","2007","美国","冒险传记剧情","8.6","118022人评价"
"182","恐怖游轮","https://movie.douban.com/subject/3011051/","导演:克里斯托弗·史密斯ChristopherSmith   主演:梅利莎·乔治Melissa...","主演:梅利莎·乔治Melissa...","2009","英国澳大利亚","剧情悬疑惊悚","8.3","283677人评价"
"183","绿里奇迹","https://movie.douban.com/subject/1300374/","导演:FrankDarabont   主演:汤姆·汉克斯TomHanks/大卫·摩斯DavidM...","主演:汤姆·汉克斯TomHanks/大卫·摩斯DavidM...","1999","美国","犯罪剧情奇幻悬疑","8.7","97501人评价"
"184","勇闯夺命岛","https://movie.douban.com/subject/1292728/","导演:迈克尔·贝MichaelBay   主演:肖恩·康纳利SeanConnery/尼古拉...","主演:肖恩·康纳利SeanConnery/尼古拉...","1996","美国","动作冒险","8.5","131622人评价"
"185","惊魂记","https://movie.douban.com/subject/1293181/","导演:AlfredHitchcock   主演:JanetLeigh/AnthonyPerkins/VeraMiles","主演:JanetLeigh/AnthonyPerkins/VeraMiles","1960","美国","悬疑恐怖","8.8","74028人评价"
"186","达拉斯买家俱乐部","https://movie.douban.com/subject/1793929/","导演:让-马克·瓦雷Jean-MarcVallée   主演:马修·麦康纳MatthewMcCon...","主演:马修·麦康纳MatthewMcCon...","2013","美国","剧情传记同性","8.6","152252人评价"
"187","魔女宅急便","https://movie.douban.com/subject/1307811/","导演:宫崎骏HayaoMiyazaki   主演:高山南/佐久间玲/山口胜平","主演:高山南/佐久间玲/山口胜平","1989","日本","动画奇幻冒险","8.4","175698人评价"
"188","再次出发之纽约遇见你","https://movie.douban.com/subject/6874403/","导演:约翰·卡尼JohnCarney   主演:凯拉·奈特莉KeiraKnightley/马克...","主演:凯拉·奈特莉KeiraKnightley/马克...","2013","美国","喜剧爱情音乐","8.5","148204人评价"
"189","卡萨布兰卡","https://movie.douban.com/subject/1296753/","导演:MichaelCurtiz   主演:亨弗莱·鲍嘉HumphreyBogart/英格丽·褒曼...","主演:亨弗莱·鲍嘉HumphreyBogart/英格丽·褒曼...","1942","美国","剧情爱情战争","8.6","114728人评价"
"190","爆裂鼓手","https://movie.douban.com/subject/25773932/","导演:达米安·沙泽勒DamienChazelle   主演:迈尔斯·特勒MilesTeller/...","主演:迈尔斯·特勒MilesTeller/...","2014","美国","剧情音乐","8.6","211234人评价"
"191","燕尾蝶","https://movie.douban.com/subject/1307793/","导演:岩井俊二ShunjiIwai   主演:三上博史/恰拉/伊藤步","主演:三上博史/恰拉/伊藤步","1996","日本","犯罪剧情","8.6","102096人评价"
"192","未麻的部屋","https://movie.douban.com/subject/1395091/","导演:今敏SatoshiKon   主演:岩男润子JunkoIwao/松本梨香RicaMatsu...","主演:岩男润子JunkoIwao/松本梨香RicaMatsu...","1997","日本","动画奇幻惊悚","8.8","80867人评价"
"193","东京物语","https://movie.douban.com/subject/1291568/","导演:小津安二郎Yasujir<U+00F4>Ozu   主演:笠智众Chish<U+00FB>Ry<U+00FB>/原节...","主演:笠智众Chish<U+00FB>Ry<U+00FB>/原节...","1953","日本","剧情家庭","9.2","45098人评价"
"194","牯岭街少年杀人事件","https://movie.douban.com/subject/1292329/","导演:杨德昌EdwardYang   主演:张震ChenChang/杨静怡LisaYang/张...","主演:张震ChenChang/杨静怡LisaYang/张...","1991","台湾","剧情犯罪","8.7","93531人评价"
"195","这个男人来自地球","https://movie.douban.com/subject/2300586/","导演:理查德·沙因克曼RichardSchenkman   主演:大卫·李·史密斯David...","主演:大卫·李·史密斯David...","2007","美国","剧情科幻","8.5","160135人评价"
"196","英国病人","https://movie.douban.com/subject/1291853/","导演:安东尼·明格拉AnthonyMinghella   主演:拉尔夫·费因斯RalphFien...","主演:拉尔夫·费因斯RalphFien...","1996","美国英国","爱情剧情战争","8.4","163691人评价"
"197","变脸","https://movie.douban.com/subject/1292659/","导演:吴宇森JohnWoo   主演:约翰·特拉沃尔塔JohnTravolta/尼古拉斯...","主演:约翰·特拉沃尔塔JohnTravolta/尼古拉斯...","1997","美国","动作科幻犯罪","8.4","198472人评价"
"198","被解救的姜戈","https://movie.douban.com/subject/6307447/","导演:昆汀·塔伦蒂诺QuentinTarantino   主演:杰米·福克斯JamieFoxx/...","主演:杰米·福克斯JamieFoxx/...","2012","美国","剧情动作西部冒险","8.5","239669人评价"
"199","终结者2：审判日","https://movie.douban.com/subject/1291844/","导演:詹姆斯·卡梅隆JamesCameron   主演:阿诺·施瓦辛格ArnoldSchwarz...","主演:阿诺·施瓦辛格ArnoldSchwarz...","1991","美国法国","动作科幻","8.5","129552人评价"
"200","末路狂花","https://movie.douban.com/subject/1291992/","导演:雷德利·斯科特RidleyScott   主演:吉娜·戴维斯GeenaDavis/苏...","主演:吉娜·戴维斯GeenaDavis/苏...","1991","美国法国","犯罪剧情惊悚","8.7","94159人评价"
"201","E.T. 外星人","https://movie.douban.com/subject/1294638/","导演:StevenSpielberg   主演:HenryThomas/DeeWallace/RobertMacNa...","主演:HenryThomas/DeeWallace/RobertMacNa...","1982","美国","剧情科幻奇幻冒险","8.5","140090人评价"
"202","叫我第一名","https://movie.douban.com/subject/4798888/","导演:彼得·维纳PeterWerner   主演:詹姆斯·沃克JamesWolk/特里特·...","主演:詹姆斯·沃克JamesWolk/特里特·...","2008","美国","剧情传记","8.6","100343人评价"
"203","忠犬八公物语","https://movie.douban.com/subject/1959195/","导演:Seijir<U+00F4>K<U+00F4>yama   主演:山本圭KeiYamamoto/井川比佐志Hisa...","主演:山本圭KeiYamamoto/井川比佐志Hisa...","1987","日本","剧情","9.0","49476人评价"
"204","哪吒闹海","https://movie.douban.com/subject/1307315/","导演:严定宪DingxianYan/王树忱ShuchenWang   主演:梁正晖/邱岳峰...","主演:梁正晖/邱岳峰...","1979","中国大陆","冒险动画奇幻","8.8","71604人评价"
"205","发条橙","https://movie.douban.com/subject/1292233/","导演:StanleyKubrick   主演:MalcolmMcDowell/PatrickMagee/Michael...","主演:MalcolmMcDowell/PatrickMagee/Michael...","1971","英国美国","犯罪剧情科幻","8.4","171697人评价"
"206","青蛇","https://movie.douban.com/subject/1303394/","导演:徐克HarkTsui   主演:张曼玉MaggieCheung/王祖贤JoeyWang/...","主演:张曼玉MaggieCheung/王祖贤JoeyWang/...","1993","香港","剧情奇幻古装","8.4","198214人评价"
"207","穆赫兰道","https://movie.douban.com/subject/1292217/","导演:大卫·林奇DavidLynch   主演:娜奥米·沃茨NaomiWatts/劳拉·哈...","主演:娜奥米·沃茨NaomiWatts/劳拉·哈...","2001","法国美国","剧情悬疑惊悚","8.3","214156人评价"
"208","源代码","https://movie.douban.com/subject/3075287/","导演:邓肯·琼斯DuncanJones   主演:杰克·吉伦哈尔JakeGyllenhaal/...","主演:杰克·吉伦哈尔JakeGyllenhaal/...","2011","美国加拿大","剧情动作科幻犯罪惊悚","8.3","377416人评价"
"209","新龙门客栈","https://movie.douban.com/subject/1292287/","导演:李惠民RaymondLee   主演:张曼玉MaggieCheung/林青霞Brigitte...","主演:张曼玉MaggieCheung/林青霞Brigitte...","1992","香港中国大陆","剧情动作武侠古装","8.4","166386人评价"
"210","黑客帝国3：矩阵革命","https://movie.douban.com/subject/1302467/","导演:AndyWachowski/LarryWachowski   主演:KeanuReeves/LaurenceF...","主演:KeanuReeves/LaurenceF...","2003","美国澳大利亚","动作科幻","8.5","140513人评价"
"211","黄金三镖客","https://movie.douban.com/subject/1401118/","导演:SergioLeone   主演:ClintEastwood/EliWallach/LeeVanCleef","主演:Clintastwood/liWallach/LeeVanCleef","1966","意大利西班牙西德","冒险西部","9.1","45950人评价"
"212","非常嫌疑犯","https://movie.douban.com/subject/1292214/","导演:布莱恩·辛格BryanSinger   主演:史蒂芬·鲍德温StephenBaldwin/...","主演:史蒂芬·鲍德温StephenBaldwin/...","1995","德国美国","剧情犯罪悬疑惊悚","8.6","105645人评价"
"213","美国丽人","https://movie.douban.com/subject/1292062/","导演:萨姆·门德斯SamMendes   主演:凯文·史佩西KevinSpacey/安妮特...","主演:凯文·史佩西KevinSpacey/安妮特...","1999","美国","剧情家庭","8.4","169571人评价"
"214","上帝也疯狂","https://movie.douban.com/subject/1297478/","导演:JamieUys   主演:MariusWeyers/SandraPrinsloo/N!xau","主演:MariusWeyers/SandraPrinsloo/N!xau","1980","博茨瓦纳南非","喜剧","8.6","88603人评价"
"215","城市之光","https://movie.douban.com/subject/1293908/","导演:CharlesChaplin   主演:查理·卓别林CharlesChaplin/弗吉尼亚·...","主演:查理·卓别林CharlesChaplin/弗吉尼亚·...","1931","美国","喜剧剧情爱情","9.2","38138人评价"
"216","无耻混蛋","https://movie.douban.com/subject/1438652/","导演:QuentinTarantino   主演:布拉德·皮特BradPitt/梅拉尼·罗兰M...","主演:布拉德·皮特BradPitt/梅拉尼·罗兰M...","2009","美国德国","剧情犯罪","8.4","205227人评价"
"217","初恋这件小事","https://movie.douban.com/subject/4739952/","导演:PuttipongPromsakaNaSakolnakorn/Wasinpokpong   主演:马里奥·...","主演:马里奥·...","2010","泰国","喜剧爱情","8.2","419974人评价"
"218","勇士","https://movie.douban.com/subject/3217169/","导演:加文·欧康诺GavinO'Connor   主演:汤姆·哈迪TomHardy/乔尔·...","主演:汤姆·哈迪TomHardy/乔尔·...","2011","美国","剧情运动家庭","8.9","80299人评价"
"219","爱·回家","https://movie.douban.com/subject/1299361/","导演:李廷香Jeong-hyangLee   主演:金艺芬Eul-boonKim/俞承豪Seung-...","主演:金艺芬ul-boonKim/俞承豪Seung-...","2002","韩国","剧情儿童家庭","9.0","43476人评价"
"220","蓝色大门","https://movie.douban.com/subject/1308575/","导演:易智言Chih-yenYee   主演:桂纶镁LunmeiKwai/陈柏霖Bo-linChe...","主演:桂纶镁LunmeiKwai/陈柏霖Bo-linChe...","2002","台湾法国","剧情爱情同性","8.2","255739人评价"
"221","曾经","https://movie.douban.com/subject/2053515/","导演:约翰·卡尼JohnCarney   主演:格伦·汉塞德GlenHansard/玛可塔...","主演:格伦·汉塞德GlenHansard/玛可塔...","2006","爱尔兰","剧情音乐爱情","8.3","190285人评价"
"222","无敌破坏王","https://movie.douban.com/subject/6534248/","导演:瑞奇·莫尔RichMoore   主演:简·林奇JaneLynch/约翰·C·赖利...","主演:简·林奇JaneLynch/约翰·C·赖利...","2012","美国","喜剧动画冒险","8.6","170679人评价"
"223","麦兜故事","https://movie.douban.com/subject/1302476/","导演:袁建滔ToeYuen   主演:李晋纬/林海峰JanLamb/吴君如SandraNg","主演:李晋纬/林海峰JanLamb/吴君如SandraNg","2001","香港","剧情喜剧动画","8.5","118208人评价"
