"","电影名","链接","导演","主演","发行年份","发行国家","影片类型","影片评分","评价人数"
"26","指环王3：王者无敌","https://movie.douban.com/subject/1291552/","导演:彼得·杰克逊PeterJackson   主演:维果·莫腾森ViggoMortensen/...","主演:维果·莫腾森ViggoMortensen/...","2003","美国新西兰","剧情动作奇幻冒险","9.1","273496人评价"
"27","熔炉","https://movie.douban.com/subject/5912992/","导演:黄东赫Dong-hyukHwang   主演:孔侑YooGong/郑有美Yu-miJeong...","主演:孔侑YooGong/郑有美Yu-miJeong...","2011","韩国","剧情","9.2","228217人评价"
"28","怦然心动","https://movie.douban.com/subject/3319755/","导演:罗伯·莱纳RobReiner   主演:玛德琳·卡罗尔MadelineCarroll/卡...","主演:玛德琳·卡罗尔MadelineCarroll/卡...","2010","美国","剧情喜剧爱情","8.9","513754人评价"
"29","天空之城","https://movie.douban.com/subject/1291583/","导演:宫崎骏HayaoMiyazaki   主演:田中真弓MayumiTanaka/鹫尾真知子...","主演:田中真弓MayumiTanaka/鹫尾真知子...","1986","日本","动画奇幻冒险","9.0","316442人评价"
"30","罗马假日","https://movie.douban.com/subject/1293839/","导演:威廉·惠勒WilliamWyler   主演:奥黛丽·赫本AudreyHepburn/格...","主演:奥黛丽·赫本AudreyHepburn/格...","1953","美国","喜剧剧情爱情","8.9","369289人评价"
"31","少年派的奇幻漂流","https://movie.douban.com/subject/1929463/","导演:李安AngLee   主演:苏拉·沙玛SurajSharma/拉菲·斯波RafeSpa...","主演:苏拉·沙玛SurajSharma/拉菲·斯波RafeSpa...","2012","美国台湾英国加拿大","剧情奇幻冒险","9.0","555911人评价"
"32","大话西游之月光宝盒","https://movie.douban.com/subject/1299398/","导演:刘镇伟JeffreyLau   主演:周星驰StephenChow/吴孟达ManTatNg...","主演:周星驰StephenChow/吴孟达ManTatNg...","1995","香港中国大陆","喜剧动作爱情奇幻冒险古装","8.9","376082人评价"
"33","鬼子来了","https://movie.douban.com/subject/1291858/","导演:姜文WenJiang   主演:姜文WenJiang/香川照之TeruyukiKagawa/...","主演:姜文WenJiang/香川照之TeruyukiKagawa/...","2000","中国大陆","剧情战争","9.1","214685人评价"
"34","蝙蝠侠：黑暗骑士","https://movie.douban.com/subject/1851857/","导演:克里斯托弗·诺兰ChristopherNolan   主演:克里斯蒂安·贝尔Christ...","主演:克里斯蒂安·贝尔Christ...","2008","美国英国","剧情动作科幻犯罪惊悚","9.0","299794人评价"
"35","星际穿越","https://movie.douban.com/subject/1889243/","导演:克里斯托弗·诺兰ChristopherNolan   主演:马修·麦康纳MatthewMc...","主演:马修·麦康纳MatthewMc...","2014","美国英国加拿大","剧情科幻悬疑冒险家庭","9.1","455716人评价"
"36","两杆大烟枪","https://movie.douban.com/subject/1293350/","导演:GuyRitchie   主演:JasonFlemyng/DexterFletcher/NickMoran","主演:JasonFlemyng/DexterFletcher/NickMoran","1998","英国","剧情喜剧犯罪","9.0","262172人评价"
"37","飞屋环游记","https://movie.douban.com/subject/2129039/","导演:彼特·道格特PeteDocter   主演:爱德华·阿斯纳EdwardAsner/克...","主演:爱德华·阿斯纳dwardAsner/克...","2009","美国","剧情喜剧动画奇幻冒险","8.9","478241人评价"
"38","活着","https://movie.douban.com/subject/1292365/","导演:张艺谋YimouZhang   主演:葛优YouGe/巩俐LiGong/姜武WuJiang","主演:葛优YouGe/巩俐LiGong/姜武WuJiang","1994","中国大陆香港","剧情家庭","9.0","248683人评价"
"39","飞越疯人院","https://movie.douban.com/subject/1292224/","导演:米洛斯·福尔曼Milo<U+0161>Forman   主演:杰克·尼科尔森JackNichols...","主演:杰克·尼科尔森JackNichols...","1975","美国","剧情","9.0","265888人评价"
"40","窃听风暴","https://movie.douban.com/subject/1900841/","导演:弗洛里安·亨克尔·冯·多纳斯马FlorianHenckelvonDonnersmarck   ...","...","2006","德国","剧情悬疑","9.1","209864人评价"
"41","海豚湾","https://movie.douban.com/subject/3442220/","导演:LouiePsihoyos   主演:JohnChisholm/Mandy-RaeCruikshank/Char...","主演:JohnChisholm/Mandy-RaeCruikshank/Char...","2009","美国","纪录片","9.3","175470人评价"
"42","闻香识女人","https://movie.douban.com/subject/1298624/","导演:马丁·布莱斯MartinBrest   主演:阿尔·帕西诺AlPacino/克里斯...","主演:阿尔·帕西诺AlPacino/克里斯...","1992","美国","剧情","8.9","305397人评价"
"43","V字仇杀队","https://movie.douban.com/subject/1309046/","导演:詹姆斯·麦克特格JamesMcTeigue   主演:娜塔丽·波曼NataliePortm...","主演:娜塔丽·波曼NataliePortm...","2005","美国英国德国","剧情动作科幻惊悚","8.8","391614人评价"
"44","美丽心灵","https://movie.douban.com/subject/1306029/","导演:朗·霍华德RonHoward   主演:罗素·克劳RussellCrowe/詹妮弗·...","主演:罗素·克劳RussellCrowe/詹妮弗·...","2001","美国","传记剧情","8.9","290776人评价"
"45","教父2","https://movie.douban.com/subject/1299131/","导演:弗朗西斯·福特·科波拉FrancisFordCoppola   主演:阿尔·帕西诺A...","主演:阿尔·帕西诺A...","1974","美国","剧情犯罪","9.1","177014人评价"
"46","哈尔的移动城堡","https://movie.douban.com/subject/1308807/","导演:宫崎骏HayaoMiyazaki   主演:倍赏千惠子ChiekoBaish<U+00F4>/木村拓...","主演:倍赏千惠子ChiekoBaish<U+00F4>/木村拓...","2004","日本","爱情动画奇幻冒险","8.8","327781人评价"
"47","指环王2：双塔奇兵","https://movie.douban.com/subject/1291572/","导演:彼得·杰克逊PeterJackson   主演:伊利亚·伍德ElijahWood/西恩...","主演:伊利亚·伍德lijahWood/西恩...","2002","美国新西兰","剧情动作奇幻冒险","8.9","258469人评价"
"48","指环王1：魔戒再现","https://movie.douban.com/subject/1291571/","导演:彼得·杰克逊PeterJackson   主演:伊利亚·伍德ElijahWood/西恩...","主演:伊利亚·伍德lijahWood/西恩...","2001","新西兰美国","剧情动作奇幻冒险","8.9","288264人评价"
"49","天使爱美丽","https://movie.douban.com/subject/1292215/","导演:Jean-PierreJeunet   主演:奥黛丽·塔图AudreyTautou/马修·卡索...","主演:奥黛丽·塔图AudreyTautou/马修·卡索...","2001","法国德国","喜剧爱情","8.7","461197人评价"
"50","情书","https://movie.douban.com/subject/1292220/","导演:岩井俊二ShunjiIwai   主演:中山美穗MihoNakayama/丰川悦司Ets...","主演:中山美穗MihoNakayama/丰川悦司ts...","1995","日本","剧情爱情","8.8","353825人评价"
"51","死亡诗社","https://movie.douban.com/subject/1291548/","导演:彼得·威尔PeterWeir   主演:罗宾·威廉姆斯RobinWilliams/罗伯...","主演:罗宾·威廉姆斯RobinWilliams/罗伯...","1989","美国","剧情","8.9","260558人评价"
"52","美国往事","https://movie.douban.com/subject/1292262/","导演:SergioLeone   主演:罗伯特·德尼罗RobertDeNiro/詹姆斯·伍兹...","主演:罗伯特·德尼罗RobertDeNiro/詹姆斯·伍兹...","1984","意大利美国","犯罪剧情","9.1","165010人评价"
"53","七宗罪","https://movie.douban.com/subject/1292223/","导演:大卫·芬奇DavidFincher   主演:摩根·弗里曼MorganFreeman/布...","主演:摩根·弗里曼MorganFreeman/布...","1995","美国","剧情犯罪悬疑惊悚","8.7","415443人评价"
"54","钢琴家","https://movie.douban.com/subject/1296736/","导演:罗曼·波兰斯基RomanPolanski   主演:艾德里安·布洛迪AdrienBrod...","主演:艾德里安·布洛迪AdrienBrod...","2002","法国德国英国波兰","剧情传记历史战争","9.0","192627人评价"
"55","狮子王","https://movie.douban.com/subject/1301753/","导演:RogerAllers/罗伯·明可夫RobMinkoff   主演:乔纳森·泰勒·托马...","主演:乔纳森·泰勒·托马...","1994","美国","剧情动画冒险歌舞家庭","8.9","266904人评价"
"56","被嫌弃的松子的一生","https://movie.douban.com/subject/1787291/","导演:中岛哲也TetsuyaNakashima   主演:中谷美纪MikiNakatani/瑛太E...","主演:中谷美纪MikiNakatani/瑛太...","2006","日本","剧情歌舞","8.9","259757人评价"
"57","致命魔术","https://movie.douban.com/subject/1780330/","导演:克里斯托弗·诺兰ChristopherNolan   主演:克里斯蒂安·贝尔Christ...","主演:克里斯蒂安·贝尔Christ...","2006","美国英国","剧情悬疑惊悚","8.8","320741人评价"
"58","辩护人","https://movie.douban.com/subject/21937445/","导演:杨宇硕Woo-seokYang   主演:宋康昊Kang-hoSong/吴达洙Dal-suO...","主演:宋康昊Kang-hoSong/吴达洙Dal-suO...","2013","韩国","剧情","9.1","183400人评价"
"59","勇敢的心","https://movie.douban.com/subject/1294639/","导演:梅尔·吉布森MelGibson   主演:梅尔·吉布森MelGibson/苏菲·玛...","主演:梅尔·吉布森MelGibson/苏菲·玛...","1995","美国","动作传记剧情历史战争","8.8","283607人评价"
"60","控方证人","https://movie.douban.com/subject/1296141/","导演:比利·怀尔德BillyWilder   主演:查尔斯·劳顿CharlesLaughton/...","主演:查尔斯·劳顿CharlesLaughton/...","1957","美国","剧情犯罪悬疑","9.6","73063人评价"
"61","剪刀手爱德华","https://movie.douban.com/subject/1292370/","导演:TimBurton   主演:约翰尼·德普JohnnyDepp/薇诺娜·瑞德Winona...","主演:约翰尼·德普JohnnyDepp/薇诺娜·瑞德Winona...","1990","美国","剧情奇幻爱情","8.7","459966人评价"
"62","小鞋子","https://movie.douban.com/subject/1303021/","导演:马基德·马基迪MajidMajidi   主演:AmirFarrokhHashemian/默罕...","主演:AmirFarrokhHashemian/默罕...","1999","伊朗","剧情家庭儿童","9.2","127139人评价"
"63","饮食男女","https://movie.douban.com/subject/1291818/","导演:李安AngLee   主演:吴倩莲Chien-lienWu/杨贵媚Kuei-MeiYang/...","主演:吴倩莲Chien-lienWu/杨贵媚Kuei-MeiYang/...","1994","台湾美国","剧情家庭","9.0","176274人评价"
"64","音乐之声","https://movie.douban.com/subject/1294408/","导演:RobertWise   主演:朱丽·安德鲁斯JulieAndrews/克里斯托弗·普...","主演:朱丽·安德鲁斯JulieAndrews/克里斯托弗·普...","1965","美国","剧情爱情歌舞家庭传记","8.9","220407人评价"
"65","低俗小说","https://movie.douban.com/subject/1291832/","导演:昆汀·塔伦蒂诺QuentinTarantino   主演:约翰·特拉沃尔塔JohnTra...","主演:约翰·特拉沃尔塔JohnTra...","1994","美国","剧情喜剧犯罪","8.7","312657人评价"
"66","入殓师","https://movie.douban.com/subject/2149806/","导演:泷田洋二郎Y<U+00F4>jir<U+00F4>Takita   主演:本木雅弘MasahiroMotoki/...","主演:本木雅弘MasahiroMotoki/...","2008","日本","剧情","8.8","304475人评价"
"67","本杰明·巴顿奇事","https://movie.douban.com/subject/1485260/","导演:大卫·芬奇DavidFincher   主演:凯特·布兰切特CateBlanchett/...","主演:凯特·布兰切特CateBlanchett/...","2008","美国","剧情爱情奇幻","8.7","372963人评价"
"68","沉默的羔羊","https://movie.douban.com/subject/1293544/","导演:乔纳森·戴米JonathanDemme   主演:朱迪·福斯特JodieFoster/安...","主演:朱迪·福斯特JodieFoster/安...","1991","美国","剧情犯罪惊悚","8.7","331221人评价"
"69","蝴蝶效应","https://movie.douban.com/subject/1292343/","导演:埃里克·布雷斯EricBress/J·麦基·格鲁伯J.MackyeGruber   主...","主...","2004","美国加拿大","剧情悬疑科幻惊悚","8.7","360588人评价"
"70","黑客帝国","https://movie.douban.com/subject/1291843/","导演:安迪·沃卓斯基AndyWachowski/拉娜·沃卓斯基LanaWachowski   主...","主...","1999","美国澳大利亚","动作科幻","8.8","262683人评价"
"71","拯救大兵瑞恩","https://movie.douban.com/subject/1292849/","导演:史蒂文·斯皮尔伯格StevenSpielberg   主演:汤姆·汉克斯TomHanks...","主演:汤姆·汉克斯TomHanks...","1998","美国","剧情历史战争","8.8","220858人评价"
"72","玛丽和马克思","https://movie.douban.com/subject/3072124/","导演:AdamElliot   主演:托妮·科莱特ToniCollette/菲利普·塞默·霍...","主演:托妮·科莱特ToniCollette/菲利普·塞默·霍...","2009","澳大利亚","剧情爱情动画","8.9","223812人评价"
"73","西西里的美丽传说","https://movie.douban.com/subject/1292402/","导演:朱塞佩·托纳多雷GiuseppeTornatore   主演:莫妮卡·贝鲁奇Monica...","主演:莫妮卡·贝鲁奇Monica...","2000","意大利美国","剧情战争情色","8.7","320774人评价"
"74","素媛","https://movie.douban.com/subject/21937452/","导演:李濬益Jun-ikLee   主演:薛景求Kyung-guSol/严志媛Ji-wonUhm...","主演:薛景求Kyung-guSol/严志媛Ji-wonhm...","2013","韩国","剧情家庭","9.1","158562人评价"
"75","心灵捕手","https://movie.douban.com/subject/1292656/","导演:格斯·范·桑特GusVanSant   主演:马特·达蒙MattDamon/罗宾·...","主演:马特·达蒙MattDamon/罗宾·...","1997","美国","剧情","8.7","252120人评价"
"76","幽灵公主","https://movie.douban.com/subject/1297359/","导演:宫崎骏   主演:松田洋治/石田百合子/田中裕子","主演:松田洋治/石田百合子/田中裕子","1997","日本","动画冒险奇幻","8.8","220359人评价"
"77","第六感","https://movie.douban.com/subject/1297630/","导演:M·奈特·沙马兰M.NightShyamalan   主演:布鲁斯·威利斯BruceWi...","主演:布鲁斯·威利斯BruceWi...","1999","美国","剧情悬疑恐怖","8.8","218854人评价"
"78","阳光灿烂的日子","https://movie.douban.com/subject/1291875/","导演:姜文WenJiang   主演:夏雨YuXia/宁静JingNing/陶虹HongTao","主演:夏雨YuXia/宁静JingNing/陶虹HongTao","1994","中国大陆香港","剧情","8.7","253509人评价"
"79","让子弹飞","https://movie.douban.com/subject/3742360/","导演:姜文WenJiang   主演:姜文WenJiang/葛优YouGe/周润发Yun-F...","主演:姜文WenJiang/葛优YouGe/周润发Yun-F...","2010","中国大陆香港","剧情喜剧动作西部","8.7","590153人评价"
"80","春光乍泄","https://movie.douban.com/subject/1292679/","导演:王家卫   主演:张国荣/梁朝伟/张震","主演:张国荣/梁朝伟/张震","1997","香港日本韩国","剧情爱情同性","8.8","225541人评价"
"81","大鱼","https://movie.douban.com/subject/1291545/","导演:蒂姆·波顿TimBurton   主演:伊万·麦克格雷格EwanMcGregor/阿...","主演:伊万·麦克格雷格wanMcGregor/阿...","2003","美国","剧情家庭奇幻冒险","8.7","235914人评价"
