"英雄","比赛","胜率","KDA","杀","死","助","正反补","反补总数","金钱/分钟","经验/分钟","Pick次数","Pick率","Pick胜率","平均Pick序位","Ban次数","Ban率","Ban胜率","平均Ban序位"
"莱恩",5,0.4,1.73,1.8,6.6,9.6,46.4,1,253.8,300,5,0.0112,0.4,3,0,0,0,0
"狼人",6,0.8333,7.63,6.67,2.67,13.67,268.17,8.67,556.67,587.83,6,0.0134,0.8333,4.2,7,0.0156,0.7143,2.9
"力丸",21,0.5238,3.08,5.76,6.38,13.9,59.81,1.1,286.38,400.05,21,0.0469,0.5238,2.1,22,0.0491,0.5455,2.1
"莉娜",29,0.3448,2.7,8.41,6.76,9.86,364.03,10.41,581.07,623.28,29,0.0647,0.3448,3.6,32,0.0714,0.4375,3
"炼金术士",10,0.3,2.7,4.6,4.7,8.1,353.7,3.2,817.5,614.4,10,0.0223,0.3,3.2,18,0.0402,0.4444,3.5
"裂魂人",6,0.3333,2.49,2.67,8.17,17.67,45.67,0.67,242,346,6,0.0134,0.3333,2.7,3,0.0067,0.3333,3.7
"龙骑士",8,0.5,3.91,6.63,4,9,234,5.88,488.38,536.25,8,0.0179,0.5,4.4,4,0.0089,0.5,4
"露娜",2,0,3,2,2,4,377.5,16,598.5,537.5,2,0.0045,0,4,0,0,0,0
"马格纳斯",26,0.5,3.44,2.35,3.88,11,165.65,2.62,403,456.31,26,0.058,0.5,1.3,29,0.0647,0.2759,2.3
"美杜莎",10,0.5,3.58,4.5,3.3,7.3,380,9.8,624.2,589.7,10,0.0223,0.5,4.5,6,0.0134,0.8333,4.3
"魅惑魔女",1,0,4.5,5,4,13,184,0,328,456,1,0.0022,0,3,0,0,0,0
"谜团",10,0.8,4.38,2.6,4,14.9,219.7,20.8,480.1,479.9,10,0.0223,0.8,3.1,13,0.029,0.4615,3.2
"米波",1,0,1.2,3,5,3,286,4,525,680,1,0.0022,0,2,13,0.029,0.6154,1.8
"冥魂大帝",2,0.5,5,8,4.5,14.5,194.5,11,495,567,2,0.0045,0.5,5,2,0.0045,0.5,5
"末日使者",6,0.5,2.59,3.33,5.67,11.33,109,4,422.17,455.5,6,0.0134,0.5,3.3,4,0.0089,0.25,3.8
"殁境神蚀者",12,0.3333,2.38,6.75,5.25,5.75,286.17,18.17,546.08,565.67,12,0.0268,0.3333,4.2,11,0.0246,0.2727,4.3
