movie_title,movie_quote,movie_score,movie_evaluate,link
死亡诗社,"
                                当一个死水般的体制内出现一个活跃的变数时，所有的腐臭都站在了光明的对面。
                            ",8.9,260665人评价,https://movie.douban.com/subject/1291548/
美国往事,"
                                往事如烟，无处祭奠。
                            ",9.1,165078人评价,https://movie.douban.com/subject/1292262/
七宗罪,"
                                警察抓小偷，老鼠玩死猫。
                            ",8.7,415583人评价,https://movie.douban.com/subject/1292223/
钢琴家,"
                                音乐能化解仇恨。
                            ",9,192680人评价,https://movie.douban.com/subject/1296736/
狮子王,"
                                动物版《哈姆雷特》。
                            ",8.9,266960人评价,https://movie.douban.com/subject/1301753/
被嫌弃的松子的一生,"
                                以戏谑来戏谑戏谑。
                            ",8.9,259871人评价,https://movie.douban.com/subject/1787291/
致命魔术,"
                                孪生蝙蝠侠大战克隆金刚狼。
                            ",8.8,320860人评价,https://movie.douban.com/subject/1780330/
辩护人,"
                                电影的现实意义大过电影本身。
                            ",9.1,183492人评价,https://movie.douban.com/subject/21937445/
勇敢的心,"
                                史诗大片的典范。
                            ",8.8,283661人评价,https://movie.douban.com/subject/1294639/
控方证人,"
                                比利·怀德满分作品。
                            ",9.6,73179人评价,https://movie.douban.com/subject/1296141/
剪刀手爱德华,"
                                浪漫忧郁的成人童话。
                            ",8.7,460071人评价,https://movie.douban.com/subject/1292370/
小鞋子,"
                                奔跑的孩子是天使。
                            ",9.2,127199人评价,https://movie.douban.com/subject/1303021/
饮食男女,"
                                人生不能像做菜，把所有的料都准备好了才下锅。
                            ",9,176391人评价,https://movie.douban.com/subject/1291818/
音乐之声,"
                                用音乐化解仇恨，让歌声串起美好。
                            ",8.9,220455人评价,https://movie.douban.com/subject/1294408/
低俗小说,"
                                故事的高级讲法。
                            ",8.7,312792人评价,https://movie.douban.com/subject/1291832/
入殓师,"
                                死可能是一道门，逝去并不是终结，而是超越，走向下一程。
                            ",8.8,304570人评价,https://movie.douban.com/subject/2149806/
本杰明·巴顿奇事,"
                                在时间之河里感受溺水之苦。
                            ",8.7,373091人评价,https://movie.douban.com/subject/1485260/
沉默的羔羊,"
                                安东尼·霍普金斯的顶级表演。
                            ",8.7,331329人评价,https://movie.douban.com/subject/1293544/
蝴蝶效应,"
                                人的命运被自己瞬间的抉择改变。
                            ",8.7,360681人评价,https://movie.douban.com/subject/1292343/
黑客帝国,"
                                视觉革命。
                            ",8.8,262747人评价,https://movie.douban.com/subject/1291843/
拯救大兵瑞恩,"
                                美利坚精神输出大片No1.
                            ",8.8,220913人评价,https://movie.douban.com/subject/1292849/
玛丽和马克思,"
                                你是我最好的朋友，你是我唯一的朋友 。
                            ",8.9,223856人评价,https://movie.douban.com/subject/3072124/
西西里的美丽传说,"
                                美丽无罪。
                            ",8.7,320895人评价,https://movie.douban.com/subject/1292402/
素媛,"
                                受过伤害的人总是笑得最开心，因为他们不愿意让身边的人承受一样的痛苦。
                            ",9.1,158657人评价,https://movie.douban.com/subject/21937452/
心灵捕手,"
                                人生中应该拥有这样的一段豁然开朗。
                            ",8.7,252232人评价,https://movie.douban.com/subject/1292656/
幽灵公主,"
                                人与自然的战争史诗。
                            ",8.8,220437人评价,https://movie.douban.com/subject/1297359/
第六感,"
                                深入内心的恐怖，出人意料的结局。
                            ",8.8,218996人评价,https://movie.douban.com/subject/1297630/
阳光灿烂的日子,"
                                一场华丽的意淫。
                            ",8.7,253581人评价,https://movie.douban.com/subject/1291875/
让子弹飞,"
                                你给我翻译翻译，神马叫做TMD的惊喜。
                            ",8.7,590316人评价,https://movie.douban.com/subject/3742360/
春光乍泄,"
                                爱情纠缠，男女一致。
                            ",8.8,225629人评价,https://movie.douban.com/subject/1292679/
