"movie_title" "movie_detail" "movie_num" "movie_evaluate" "link"
                            导演: 彼得·杰克逊 Peter Jackson   主演: 维果·莫腾森 Viggo Mortensen / ...
                            2003 / 美国 新西兰 / 剧情 动作 奇幻 冒险
                        " "9.1" "273552人评价" "https://movie.douban.com/subject/1291552/"
"27" "熔炉" "
                            导演: 黄东赫 Dong-hyuk Hwang   主演: 孔侑 Yoo Gong / 郑有美 Yu-mi Jeong ...
                            2011 / 韩国 / 剧情
                        " "9.2" "228217人评价" "https://movie.douban.com/subject/5912992/"
"28" "怦然心动" "
                            导演: 罗伯·莱纳 Rob Reiner   主演: 玛德琳·卡罗尔 Madeline Carroll / 卡...
                            2010 / 美国 / 剧情 喜剧 爱情
                        " "8.9" "513754人评价" "https://movie.douban.com/subject/3319755/"
"29" "天空之城" "
                            导演: 宫崎骏 Hayao Miyazaki   主演: 田中真弓 Mayumi Tanaka / 鹫尾真知子 ...
                            1986 / 日本 / 动画 奇幻 冒险
                        " "9.0" "316442人评价" "https://movie.douban.com/subject/1291583/"
"30" "罗马假日" "
                            导演: 威廉·惠勒 William Wyler   主演: 奥黛丽·赫本 Audrey Hepburn / 格...
                            1953 / 美国 / 喜剧 剧情 爱情
                        " "8.9" "369289人评价" "https://movie.douban.com/subject/1293839/"
"31" "少年派的奇幻漂流" "
                            导演: 李安 Ang Lee   主演: 苏拉·沙玛 Suraj Sharma / 拉菲·斯波 Rafe Spa...
                            2012 / 美国 台湾 英国 加拿大 / 剧情 奇幻 冒险
                        " "9.0" "555982人评价" "https://movie.douban.com/subject/1929463/"
"32" "大话西游之月光宝盒" "
                            导演: 刘镇伟 Jeffrey Lau   主演: 周星驰 Stephen Chow / 吴孟达 Man Tat Ng...
                            1995 / 香港 中国大陆 / 喜剧 动作 爱情 奇幻 冒险 古装
                        " "8.9" "376156人评价" "https://movie.douban.com/subject/1299398/"
"33" "鬼子来了" "
                            导演: 姜文 Wen Jiang   主演: 姜文 Wen Jiang / 香川照之 Teruyuki Kagawa /...
                            2000 / 中国大陆 / 剧情 战争
                        " "9.1" "214724人评价" "https://movie.douban.com/subject/1291858/"
"34" "蝙蝠侠：黑暗骑士" "
                            导演: 克里斯托弗·诺兰 Christopher Nolan   主演: 克里斯蒂安·贝尔 Christ...
                            2008 / 美国 英国 / 剧情 动作 科幻 犯罪 惊悚
                        " "9.0" "299794人评价" "https://movie.douban.com/subject/1851857/"
"35" "星际穿越" "
                            导演: 克里斯托弗·诺兰 Christopher Nolan   主演: 马修·麦康纳 Matthew Mc...
                            2014 / 美国 英国 加拿大 / 剧情 科幻 悬疑 冒险 家庭
                        " "9.1" "455716人评价" "https://movie.douban.com/subject/1889243/"
"36" "两杆大烟枪" "
                            导演: Guy Ritchie   主演: Jason Flemyng / Dexter Fletcher / Nick Moran
                            1998 / 英国 / 剧情 喜剧 犯罪
                        " "9.0" "262220人评价" "https://movie.douban.com/subject/1293350/"
"37" "飞屋环游记" "
                            导演: 彼特·道格特 Pete Docter   主演: 爱德华·阿斯纳 Edward Asner / 克...
                            2009 / 美国 / 剧情 喜剧 动画 奇幻 冒险
                        " "8.9" "478241人评价" "https://movie.douban.com/subject/2129039/"
"38" "活着" "
                            导演: 张艺谋 Yimou Zhang   主演: 葛优 You Ge / 巩俐 Li Gong / 姜武 Wu Jiang
                            1994 / 中国大陆 香港 / 剧情 家庭
                        " "9.0" "248763人评价" "https://movie.douban.com/subject/1292365/"
"39" "飞越疯人院" "
                            导演: 米洛斯·福尔曼 Miloš Forman   主演: 杰克·尼科尔森 Jack Nichols...
                            1975 / 美国 / 剧情
                        " "9.0" "265888人评价" "https://movie.douban.com/subject/1292224/"
"40" "窃听风暴" "
                            导演: 弗洛里安·亨克尔·冯·多纳斯马 Florian Henckel von Donnersmarck   ...
                            2006 / 德国 / 剧情 悬疑
                        " "9.1" "209864人评价" "https://movie.douban.com/subject/1900841/"
"41" "海豚湾" "
                            导演: Louie Psihoyos   主演: John Chisholm / Mandy-Rae Cruikshank / Char...
                            2009 / 美国 / 纪录片
                        " "9.3" "175486人评价" "https://movie.douban.com/subject/3442220/"
"42" "闻香识女人" "
                            导演: 马丁·布莱斯 Martin Brest   主演: 阿尔·帕西诺 Al Pacino / 克里斯...
                            1992 / 美国 / 剧情
                        " "8.9" "305397人评价" "https://movie.douban.com/subject/1298624/"
"43" "V字仇杀队" "
                            导演: 詹姆斯·麦克特格 James McTeigue   主演: 娜塔丽·波曼 Natalie Portm...
                            2005 / 美国 英国 德国 / 剧情 动作 科幻 惊悚
                        " "8.8" "391614人评价" "https://movie.douban.com/subject/1309046/"
"44" "美丽心灵" "
                            导演: 朗·霍华德 Ron Howard   主演: 罗素·克劳 Russell Crowe / 詹妮弗·...
                            2001 / 美国 / 传记 剧情
                        " "8.9" "290816人评价" "https://movie.douban.com/subject/1306029/"
"45" "教父2" "
                            导演: 弗朗西斯·福特·科波拉 Francis Ford Coppola   主演: 阿尔·帕西诺 A...
                            1974 / 美国 / 剧情 犯罪
                        " "9.1" "177014人评价" "https://movie.douban.com/subject/1299131/"
"46" "哈尔的移动城堡" "
                            导演: 宫崎骏 Hayao Miyazaki   主演: 倍赏千惠子 Chieko Baishô / 木村拓...
                            2004 / 日本 / 爱情 动画 奇幻 冒险
                        " "8.8" "327781人评价" "https://movie.douban.com/subject/1308807/"
"47" "指环王2：双塔奇兵" "
                            导演: 彼得·杰克逊 Peter Jackson   主演: 伊利亚·伍德 Elijah Wood / 西恩...
                            2002 / 美国 新西兰 / 剧情 动作 奇幻 冒险
                        " "8.9" "258469人评价" "https://movie.douban.com/subject/1291572/"
"48" "指环王1：魔戒再现" "
                            导演: 彼得·杰克逊 Peter Jackson   主演: 伊利亚·伍德 Elijah Wood / 西恩...
                            2001 / 新西兰 美国 / 剧情 动作 奇幻 冒险
                        " "8.9" "288324人评价" "https://movie.douban.com/subject/1291571/"
"49" "天使爱美丽" "
                            导演: Jean-Pierre Jeunet   主演: 奥黛丽·塔图 Audrey Tautou / 马修·卡索...
