"link","movie_title","kind","review_score","review_num"
"https://movie.douban.com/subject/1292343/","蝴蝶效应","剧情 悬疑 科幻 惊悚","8.7","360091"
"https://movie.douban.com/subject/1291843/","黑客帝国","动作 科幻","8.8","262246"
"https://movie.douban.com/subject/1292849/","拯救大兵瑞恩","剧情 历史 战争","8.8","220403"
"https://movie.douban.com/subject/3072124/","玛丽和马克思","剧情 爱情 动画","8.9","223578"
"https://movie.douban.com/subject/1292402/","西西里的美丽传说","剧情 战争 情色","8.7","320138"
"https://movie.douban.com/subject/21937452/","素媛","剧情 家庭","9.1","158060"
"https://movie.douban.com/subject/1292656/","心灵捕手","剧情","8.7","251597"
"https://movie.douban.com/subject/1297359/","幽灵公主","动画 冒险 奇幻","8.8","220010"
"https://movie.douban.com/subject/1297630/","第六感","剧情 悬疑 恐怖","8.8","218488"
"https://movie.douban.com/subject/1291875/","阳光灿烂的日子","剧情","8.7","253123"
"https://movie.douban.com/subject/3742360/","让子弹飞","剧情 喜剧 动作 西部","8.7","589532"
"https://movie.douban.com/subject/1292679/","春光乍泄","剧情 爱情 同性","8.8","225050"
"https://movie.douban.com/subject/1291545/","大鱼","剧情 家庭 奇幻 冒险","8.7","235483"
"https://movie.douban.com/subject/1418019/","大闹天宫","动画 奇幻","9.2","89745"
"https://movie.douban.com/subject/1316510/","射雕英雄传之东成西就","喜剧 古装","8.7","257768"
"https://movie.douban.com/subject/1291999/","重庆森林","剧情 爱情","8.6","302755"
"https://movie.douban.com/subject/4917726/","阳光姐妹淘","剧情 喜剧","8.8","250769"
"https://movie.douban.com/subject/1292208/","上帝之城","犯罪 剧情","8.9","149367"
"https://movie.douban.com/subject/1305164/","甜蜜蜜","剧情 爱情","8.7","218109"
"https://movie.douban.com/subject/2334904/","禁闭岛","剧情 悬疑 惊悚","8.6","332386"
"https://movie.douban.com/subject/1297192/","致命ID","剧情 悬疑 惊悚","8.6","294128"
"https://movie.douban.com/subject/4268598/","告白","剧情 惊悚","8.6","317515"
"https://movie.douban.com/subject/1292434/","一一","剧情 爱情 家庭","8.9","143064"
"https://movie.douban.com/subject/1296339/","爱在黎明破晓前","剧情 爱情","8.7","202987"
"https://movie.douban.com/subject/1298070/","加勒比海盗","动作 冒险 奇幻","8.6","311073"
"https://movie.douban.com/subject/6985810/","狩猎","剧情","9.0","111474"
"https://movie.douban.com/subject/11525673/","布达佩斯大饭店","剧情 喜剧","8.7","281572"
"https://movie.douban.com/subject/1652587/","阿凡达","动作 冒险 奇幻 科幻","8.6","498479"
"https://movie.douban.com/subject/1418834/","断背山","剧情 爱情 同性 家庭","8.6","297631"
"https://movie.douban.com/subject/1291585/","风之谷","科幻 动画 奇幻 冒险","8.8","164245"
"https://movie.douban.com/subject/1293318/","萤火虫之墓","动画 剧情 战争","8.7","190757"
"https://movie.douban.com/subject/1291990/","爱在日落黄昏时","剧情 爱情","8.7","185369"
"https://movie.douban.com/subject/1294371/","摩登时代","喜剧 剧情 爱情","9.2","79580"
"https://movie.douban.com/subject/1305487/","猫鼠游戏","传记 犯罪 剧情","8.7","200803"
"https://movie.douban.com/subject/1297052/","侧耳倾听","剧情 爱情 动画 音乐","8.8","154575"
"https://movie.douban.com/subject/1293172/","末代皇帝","剧情 传记 历史","8.8","146452"
"https://movie.douban.com/subject/2353023/","驯龙高手","喜剧 动画 奇幻 冒险 家庭","8.7","265788"
"https://movie.douban.com/subject/1295038/","哈利·波特与魔法石","奇幻 冒险","8.6","227809"
"https://movie.douban.com/subject/5322596/","超脱","剧情","8.7","158722"
"https://movie.douban.com/subject/3443389/","海洋","纪录片","9.0","94651"
"https://movie.douban.com/subject/1292274/","幸福终点站","喜剧 剧情 爱情","8.6","212665"
"https://movie.douban.com/subject/3008247/","穿条纹睡衣的男孩","剧情 战争","8.8","126196"
"https://movie.douban.com/subject/1295865/","燃情岁月","剧情 爱情 西部 家庭","8.8","141798"
"https://movie.douban.com/subject/1293359/","菊次郎的夏天","剧情 喜剧","8.7","164130"
"https://movie.douban.com/subject/25662329/","疯狂动物城","喜剧 动作 动画 冒险","9.2","452162"
"https://movie.douban.com/subject/3287562/","神偷奶爸","儿童 喜剧 动画","8.5","343583"
"https://movie.douban.com/subject/1417598/","电锯惊魂","犯罪 悬疑 惊悚","8.6","185093"
"https://movie.douban.com/subject/1578507/","谍影重重3","动作 悬疑 冒险","8.7","168480"
"https://movie.douban.com/subject/1297447/","倩女幽魂","剧情 爱情 武侠 古装","8.6","227211"
"https://movie.douban.com/subject/21318488/","消失的爱人","剧情 犯罪 悬疑 惊悚","8.7","321086"
"https://movie.douban.com/subject/1292401/","真爱至上","喜剧 剧情 爱情","8.5","291141"
"https://movie.douban.com/subject/3792799/","岁月神偷","剧情 家庭","8.6","288006"
"https://movie.douban.com/subject/4202302/","借东西的小人阿莉埃蒂","动画 奇幻 冒险","8.7","200723"
"https://movie.douban.com/subject/1291870/","雨人","剧情","8.6","197329"
"https://movie.douban.com/subject/1296909/","虎口脱险","喜剧 战争","8.9","100582"
"https://movie.douban.com/subject/1295399/","七武士","动作 冒险 剧情","9.1","69593"
"https://movie.douban.com/subject/2209573/","贫民窟的百万富翁","剧情 爱情","8.5","374882"
"https://movie.douban.com/subject/21360417/","恐怖直播","剧情 犯罪 悬疑","8.7","193169"
"https://movie.douban.com/subject/1292328/","东邪西毒","剧情 动作 爱情 武侠 古装","8.6","232763"
"https://movie.douban.com/subject/1304447/","记忆碎片","犯罪 剧情 悬疑 惊悚","8.5","257301"
"https://movie.douban.com/subject/1907966/","疯狂原始人","喜剧 动画 冒险","8.7","347575"
"https://movie.douban.com/subject/1300299/","杀人回忆","犯罪 剧情 悬疑 惊悚","8.6","189465"
"https://movie.douban.com/subject/1291579/","怪兽电力公司","喜剧 动画 儿童 奇幻","8.6","219758"
"https://movie.douban.com/subject/1865703/","红辣椒","动画 悬疑 科幻 惊悚","8.8","114652"
"https://movie.douban.com/subject/1291822/","卢旺达饭店","剧情 历史 战争","8.8","108974"
"https://movie.douban.com/subject/1937946/","穿越时空的少女","剧情 爱情 科幻 动画","8.6","172320"
"https://movie.douban.com/subject/1978709/","黑天鹅","剧情 惊悚","8.5","389039"
"https://movie.douban.com/subject/1293964/","魂断蓝桥","剧情 战争 爱情","8.8","121689"
"https://movie.douban.com/subject/1309163/","恋恋笔记本","剧情 爱情","8.5","258213"
"https://movie.douban.com/subject/1292528/","猜火车","犯罪 剧情","8.5","228274"
"https://movie.douban.com/subject/1303037/","喜宴","剧情 喜剧 爱情 同性 家庭","8.8","124043"
"https://movie.douban.com/subject/1297574/","英雄本色","动作 犯罪","8.7","135353"
"https://movie.douban.com/subject/1418200/","傲慢与偏见","剧情 爱情","8.4","276929"
"https://movie.douban.com/subject/1293460/","雨中曲","喜剧 歌舞 爱情","8.9","86472"
"https://movie.douban.com/subject/1294240/","教父3","剧情 犯罪","8.7","118909"
"https://movie.douban.com/subject/1300992/","完美的世界","剧情 犯罪","9.0","72164"
"https://movie.douban.com/subject/25814705/","小森林 夏秋篇","剧情","8.9","109688"
"https://movie.douban.com/subject/1302425/","喜剧之王","喜剧 剧情 爱情","8.4","277832"
"https://movie.douban.com/subject/1295409/","纵横四海","剧情 喜剧 动作 犯罪","8.7","129701"
"https://movie.douban.com/subject/1858711/","玩具总动员3","喜剧 动画 奇幻 冒险","8.7","180952"
"https://movie.douban.com/subject/5989818/","萤火之森","剧情 爱情 动画 奇幻","8.7","140272"
"https://movie.douban.com/subject/1302827/","人工智能","冒险 剧情 科幻","8.6","176468"
"https://movie.douban.com/subject/1306861/","我是山姆","剧情 家庭","8.8","92803"
"https://movie.douban.com/subject/1760622/","香水","剧情 犯罪 奇幻","8.4","255309"
"https://movie.douban.com/subject/2297265/","浪潮","剧情 惊悚","8.7","119212"
"https://movie.douban.com/subject/1291578/","冰川时代","喜剧 动画 冒险","8.4","250833"
"https://movie.douban.com/subject/1388216/","撞车","犯罪 剧情","8.6","162789"
"https://movie.douban.com/subject/10777687/","7号房的礼物","剧情 喜剧 家庭","8.7","154025"
"https://movie.douban.com/subject/3011235/","哈利·波特与死亡圣器(下)","剧情 悬疑 奇幻 冒险","8.6","252018"
"https://movie.douban.com/subject/1291557/","花样年华","剧情 爱情","8.4","222913"
"https://movie.douban.com/subject/2213597/","朗读者","剧情 爱情","8.5","261805"
