title	score	score_num	pic	link
V字仇杀队	8.8	391217人评价	https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p1465235231.jpg	https://movie.douban.com/subject/1309046/
美丽心灵	8.9	290516人评价	https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p1665997400.jpg	https://movie.douban.com/subject/1306029/
教父2	9.1	176825人评价	https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p616779231.jpg	https://movie.douban.com/subject/1299131/
哈尔的移动城堡	8.8	327435人评价	https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p2174346180.jpg	https://movie.douban.com/subject/1308807/
指环王2：双塔奇兵	8.9	258238人评价	https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p909265336.jpg	https://movie.douban.com/subject/1291572/
指环王1：魔戒再现	8.9	288020人评价	https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p1354436051.jpg	https://movie.douban.com/subject/1291571/
天使爱美丽	8.7	460892人评价	https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p803896904.jpg	https://movie.douban.com/subject/1292215/
情书	8.8	353495人评价	https://img1.doubanio.com/view/movie_poster_cover/ipst/public/p449897379.jpg	https://movie.douban.com/subject/1292220/
死亡诗社	8.9	260250人评价	https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p1910824340.jpg	https://movie.douban.com/subject/1291548/
美国往事	9.1	164834人评价	https://img1.doubanio.com/view/movie_poster_cover/ipst/public/p477229647.jpg	https://movie.douban.com/subject/1292262/
七宗罪	8.7	415155人评价	https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p457631605.jpg	https://movie.douban.com/subject/1292223/
钢琴家	9.0	192427人评价	https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p792484461.jpg	https://movie.douban.com/subject/1296736/
狮子王	8.9	266669人评价	https://img1.doubanio.com/view/movie_poster_cover/ipst/public/p2277799019.jpg	https://movie.douban.com/subject/1301753/
被嫌弃的松子的一生	8.9	259399人评价	https://img1.doubanio.com/view/movie_poster_cover/ipst/public/p453723669.jpg	https://movie.douban.com/subject/1787291/
致命魔术	8.8	320486人评价	https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p480383375.jpg	https://movie.douban.com/subject/1780330/
辩护人	9.1	183119人评价	https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p2158166535.jpg	https://movie.douban.com/subject/21937445/
