Ranking	Movies	Popularity	Score	Link
84	重庆森林	303198人评价	8.6	https://movie.douban.com/subject/1291999/
85	阳光姐妹淘	251053人评价	8.8	https://movie.douban.com/subject/4917726/
86	上帝之城	149517人评价	8.9	https://movie.douban.com/subject/1292208/
87	甜蜜蜜	218452人评价	8.7	https://movie.douban.com/subject/1305164/
88	禁闭岛	332808人评价	8.6	https://movie.douban.com/subject/2334904/
89	致命ID	294538人评价	8.6	https://movie.douban.com/subject/1297192/
90	告白	317946人评价	8.6	https://movie.douban.com/subject/4268598/
91	一一	143252人评价	8.9	https://movie.douban.com/subject/1292434/
92	加勒比海盗	311486人评价	8.6	https://movie.douban.com/subject/1298070/
93	爱在黎明破晓前	203237人评价	8.7	https://movie.douban.com/subject/1296339/
94	狩猎	111715人评价	9	https://movie.douban.com/subject/6985810/
95	布达佩斯大饭店	281924人评价	8.7	https://movie.douban.com/subject/11525673/
96	阿凡达	498929人评价	8.6	https://movie.douban.com/subject/1652587/
97	断背山	297925人评价	8.6	https://movie.douban.com/subject/1418834/
98	风之谷	164449人评价	8.8	https://movie.douban.com/subject/1291585/
99	萤火虫之墓	190960人评价	8.7	https://movie.douban.com/subject/1293318/
100	摩登时代	79693人评价	9.2	https://movie.douban.com/subject/1294371/
Ranking	Movies	Popularity	Score	Link
101	爱在日落黄昏时	185554人评价	8.7	https://movie.douban.com/subject/1291990/
102	猫鼠游戏	201060人评价	8.7	https://movie.douban.com/subject/1305487/
103	侧耳倾听	154782人评价	8.8	https://movie.douban.com/subject/1297052/
104	末代皇帝	146743人评价	8.8	https://movie.douban.com/subject/1293172/
105	驯龙高手	266066人评价	8.7	https://movie.douban.com/subject/2353023/
106	哈利·波特与魔法石	228176人评价	8.6	https://movie.douban.com/subject/1295038/
107	超脱	158900人评价	8.7	https://movie.douban.com/subject/5322596/
108	疯狂动物城	452937人评价	9.2	https://movie.douban.com/subject/25662329/
109	海洋	94717人评价	9	https://movie.douban.com/subject/3443389/
110	幸福终点站	212849人评价	8.6	https://movie.douban.com/subject/1292274/
111	穿条纹睡衣的男孩	126457人评价	8.8	https://movie.douban.com/subject/3008247/
112	燃情岁月	141895人评价	8.8	https://movie.douban.com/subject/1295865/
113	菊次郎的夏天	164538人评价	8.7	https://movie.douban.com/subject/1293359/
114	倩女幽魂	227498人评价	8.6	https://movie.douban.com/subject/1297447/
115	消失的爱人	321542人评价	8.7	https://movie.douban.com/subject/21318488/
116	神偷奶爸	343898人评价	8.5	https://movie.douban.com/subject/3287562/
117	电锯惊魂	185300人评价	8.6	https://movie.douban.com/subject/1417598/
118	谍影重重3	168664人评价	8.7	https://movie.douban.com/subject/1578507/
119	真爱至上	291405人评价	8.5	https://movie.douban.com/subject/1292401/
120	岁月神偷	288262人评价	8.6	https://movie.douban.com/subject/3792799/
121	借东西的小人阿莉埃蒂	200922人评价	8.7	https://movie.douban.com/subject/4202302/
122	雨人	197502人评价	8.6	https://movie.douban.com/subject/1291870/
123	虎口脱险	100672人评价	8.9	https://movie.douban.com/subject/1296909/
124	七武士	69685人评价	9.2	https://movie.douban.com/subject/1295399/
125	恐怖直播	193535人评价	8.7	https://movie.douban.com/subject/21360417/
Ranking	Movies	Popularity	Score	Link
126	贫民窟的百万富翁	375183人评价	8.5	https://movie.douban.com/subject/2209573/
127	东邪西毒	232968人评价	8.6	https://movie.douban.com/subject/1292328/
128	记忆碎片	257614人评价	8.5	https://movie.douban.com/subject/1304447/
129	疯狂原始人	347849人评价	8.7	https://movie.douban.com/subject/1907966/
130	杀人回忆	189753人评价	8.6	https://movie.douban.com/subject/1300299/
131	怪兽电力公司	220027人评价	8.6	https://movie.douban.com/subject/1291579/
132	红辣椒	114860人评价	8.8	https://movie.douban.com/subject/1865703/
133	卢旺达饭店	109126人评价	8.8	https://movie.douban.com/subject/1291822/
134	穿越时空的少女	172542人评价	8.6	https://movie.douban.com/subject/1937946/
135	黑天鹅	389338人评价	8.5	https://movie.douban.com/subject/1978709/
136	魂断蓝桥	121779人评价	8.8	https://movie.douban.com/subject/1293964/
137	恋恋笔记本	258493人评价	8.5	https://movie.douban.com/subject/1309163/
138	猜火车	228445人评价	8.5	https://movie.douban.com/subject/1292528/
139	喜宴	124289人评价	8.8	https://movie.douban.com/subject/1303037/
140	英雄本色	135567人评价	8.7	https://movie.douban.com/subject/1297574/
141	傲慢与偏见	277275人评价	8.4	https://movie.douban.com/subject/1418200/
142	雨中曲	86603人评价	8.9	https://movie.douban.com/subject/1293460/
143	教父3	119061人评价	8.7	https://movie.douban.com/subject/1294240/
144	小森林 夏秋篇	109947人评价	8.9	https://movie.douban.com/subject/25814705/
145	完美的世界	72269人评价	9	https://movie.douban.com/subject/1300992/
146	喜剧之王	278280人评价	8.4	https://movie.douban.com/subject/1302425/
147	纵横四海	129881人评价	8.7	https://movie.douban.com/subject/1295409/
148	玩具总动员3	181070人评价	8.7	https://movie.douban.com/subject/1858711/
149	萤火之森	140492人评价	8.7	https://movie.douban.com/subject/5989818/
150	人工智能	176643人评价	8.6	https://movie.douban.com/subject/1302827/
Ranking	Movies	Popularity	Score	Link
151	我是山姆	92954人评价	8.8	https://movie.douban.com/subject/1306861/
152	香水	255557人评价	8.4	https://movie.douban.com/subject/1760622/
153	浪潮	119410人评价	8.7	https://movie.douban.com/subject/2297265/
154	冰川时代	251057人评价	8.4	https://movie.douban.com/subject/1291578/
155	7号房的礼物	154282人评价	8.7	https://movie.douban.com/subject/10777687/
156	撞车	162989人评价	8.6	https://movie.douban.com/subject/1388216/
157	哈利·波特与死亡圣器(下)	252258人评价	8.6	https://movie.douban.com/subject/3011235/
158	花样年华	223257人评价	8.4	https://movie.douban.com/subject/1291557/
159	朗读者	262014人评价	8.5	https://movie.douban.com/subject/2213597/
160	追随	72313人评价	9	https://movie.douban.com/subject/1397546/
161	一次别离	121639人评价	8.7	https://movie.douban.com/subject/5964718/
162	碧海蓝天	102901人评价	8.7	https://movie.douban.com/subject/1300960/
163	秒速5厘米	268260人评价	8.4	https://movie.douban.com/subject/2043546/
164	罗生门	111725人评价	8.7	https://movie.douban.com/subject/1291879/
165	梦之安魂曲	101956人评价	8.7	https://movie.douban.com/subject/1292270/
166	战争之王	161816人评价	8.5	https://movie.douban.com/subject/1419936/
167	可可西里	118869人评价	8.6	https://movie.douban.com/subject/1308857/
168	心迷宫	137350人评价	8.6	https://movie.douban.com/subject/25917973/
169	唐伯虎点秋香	287315人评价	8.3	https://movie.douban.com/subject/1306249/
170	超能陆战队	334475人评价	8.6	https://movie.douban.com/subject/11026735/
171	时空恋旅人	174836人评价	8.6	https://movie.douban.com/subject/10577869/
172	海盗电台	157048人评价	8.6	https://movie.douban.com/subject/3007773/
173	谍影重重2	146558人评价	8.5	https://movie.douban.com/subject/1308767/
174	谍影重重	177123人评价	8.5	https://movie.douban.com/subject/1304102/
175	蝙蝠侠：黑暗骑士崛起	270621人评价	8.5	https://movie.douban.com/subject/3395373/
Ranking	Movies	Popularity	Score	Link
176	阿飞正传	162222人评价	8.5	https://movie.douban.com/subject/1305690/
177	荒蛮故事	112914人评价	8.7	https://movie.douban.com/subject/24750126/
178	地球上的星星	72541人评价	8.8	https://movie.douban.com/subject/2363506/
179	小森林 冬春篇	94922人评价	8.9	https://movie.douban.com/subject/25814707/
180	迁徙的鸟	49089人评价	9.1	https://movie.douban.com/subject/1292281/
181	荒野生存	117973人评价	8.6	https://movie.douban.com/subject/1905462/
182	恐怖游轮	283427人评价	8.3	https://movie.douban.com/subject/3011051/
183	绿里奇迹	97444人评价	8.7	https://movie.douban.com/subject/1300374/
184	勇闯夺命岛	131570人评价	8.5	https://movie.douban.com/subject/1292728/
185	惊魂记	73961人评价	8.8	https://movie.douban.com/subject/1293181/
186	达拉斯买家俱乐部	152157人评价	8.6	https://movie.douban.com/subject/1793929/
187	魔女宅急便	175593人评价	8.4	https://movie.douban.com/subject/1307811/
188	再次出发之纽约遇见你	148107人评价	8.5	https://movie.douban.com/subject/6874403/
189	卡萨布兰卡	114681人评价	8.6	https://movie.douban.com/subject/1296753/
190	爆裂鼓手	211066人评价	8.6	https://movie.douban.com/subject/25773932/
191	燕尾蝶	102054人评价	8.6	https://movie.douban.com/subject/1307793/
192	未麻的部屋	80747人评价	8.8	https://movie.douban.com/subject/1395091/
193	东京物语	45055人评价	9.2	https://movie.douban.com/subject/1291568/
194	牯岭街少年杀人事件	93438人评价	8.7	https://movie.douban.com/subject/1292329/
195	这个男人来自地球	160070人评价	8.5	https://movie.douban.com/subject/2300586/
196	英国病人	163634人评价	8.4	https://movie.douban.com/subject/1291853/
197	变脸	198386人评价	8.4	https://movie.douban.com/subject/1292659/
198	被解救的姜戈	239565人评价	8.5	https://movie.douban.com/subject/6307447/
199	终结者2：审判日	129478人评价	8.5	https://movie.douban.com/subject/1291844/
200	末路狂花	94080人评价	8.7	https://movie.douban.com/subject/1291992/
Ranking	Movies	Popularity	Score	Link
201	E.T. 外星人	139989人评价	8.5	https://movie.douban.com/subject/1294638/
202	叫我第一名	100296人评价	8.6	https://movie.douban.com/subject/4798888/
203	忠犬八公物语	49431人评价	9	https://movie.douban.com/subject/1959195/
204	哪吒闹海	71559人评价	8.8	https://movie.douban.com/subject/1307315/
205	发条橙	171613人评价	8.4	https://movie.douban.com/subject/1292233/
206	青蛇	198069人评价	8.4	https://movie.douban.com/subject/1303394/
207	穆赫兰道	214042人评价	8.3	https://movie.douban.com/subject/1292217/
208	源代码	377327人评价	8.3	https://movie.douban.com/subject/3075287/
209	新龙门客栈	166326人评价	8.4	https://movie.douban.com/subject/1292287/
210	黑客帝国3：矩阵革命	140445人评价	8.5	https://movie.douban.com/subject/1302467/
211	黄金三镖客	45918人评价	9.1	https://movie.douban.com/subject/1401118/
212	非常嫌疑犯	105603人评价	8.6	https://movie.douban.com/subject/1292214/
213	美国丽人	169500人评价	8.4	https://movie.douban.com/subject/1292062/
214	上帝也疯狂	88565人评价	8.6	https://movie.douban.com/subject/1297478/
215	城市之光	38098人评价	9.2	https://movie.douban.com/subject/1293908/
216	无耻混蛋	205151人评价	8.4	https://movie.douban.com/subject/1438652/
217	初恋这件小事	419753人评价	8.2	https://movie.douban.com/subject/4739952/
218	勇士	80247人评价	8.9	https://movie.douban.com/subject/3217169/
219	爱·回家	43451人评价	9	https://movie.douban.com/subject/1299361/
220	蓝色大门	255619人评价	8.2	https://movie.douban.com/subject/1308575/
221	曾经	190207人评价	8.3	https://movie.douban.com/subject/2053515/
222	无敌破坏王	170623人评价	8.6	https://movie.douban.com/subject/6534248/
223	麦兜故事	118163人评价	8.5	https://movie.douban.com/subject/1302476/
224	暖暖内含光	133172人评价	8.4	https://movie.douban.com/subject/1308777/
225	蝴蝶	89967人评价	8.6	https://movie.douban.com/subject/1292056/
Ranking	Movies	Popularity	Score	Link
226	大卫·戈尔的一生	78219人评价	8.7	https://movie.douban.com/subject/1305725/
227	与狼共舞	52487人评价	8.9	https://movie.douban.com/subject/1293764/
228	血钻	116728人评价	8.5	https://movie.douban.com/subject/1428175/
229	模仿游戏	227500人评价	8.5	https://movie.douban.com/subject/10463953/
230	国王的演讲	310798人评价	8.3	https://movie.douban.com/subject/4023638/
231	遗愿清单	113582人评价	8.5	https://movie.douban.com/subject/1867345/
232	巴黎淘气帮	98476人评价	8.6	https://movie.douban.com/subject/3157605/
233	偷拐抢骗	106704人评价	8.5	https://movie.douban.com/subject/1301171/
234	荒岛余生	120137人评价	8.4	https://movie.douban.com/subject/1298653/
235	夜访吸血鬼	183363人评价	8.3	https://movie.douban.com/subject/1299327/
236	疯狂的石头	279792人评价	8.2	https://movie.douban.com/subject/1862151/
237	枪火	88120人评价	8.6	https://movie.douban.com/subject/1300741/
238	千钧一发	74119人评价	8.7	https://movie.douban.com/subject/1300117/
239	中央车站	71445人评价	8.7	https://movie.douban.com/subject/1292218/
240	爱在暹罗	207488人评价	8.3	https://movie.douban.com/subject/2365260/
241	爱在午夜降临前	102079人评价	8.7	https://movie.douban.com/subject/10808442/
242	月球	129843人评价	8.5	https://movie.douban.com/subject/3073124/
243	寿司之神	73642人评价	8.8	https://movie.douban.com/subject/6146955/
244	我爱你	49463人评价	9	https://movie.douban.com/subject/5908478/
245	两小无猜	299482人评价	8.1	https://movie.douban.com/subject/1308817/
246	罪恶之城	131178人评价	8.4	https://movie.douban.com/subject/1309027/
247	廊桥遗梦	88921人评价	8.5	https://movie.douban.com/subject/1293929/
248	假如爱有天意	213017人评价	8.2	https://movie.douban.com/subject/1304073/
249	黑鹰坠落	99273人评价	8.5	https://movie.douban.com/subject/1291824/
250	角斗士	119605人评价	8.4	https://movie.douban.com/subject/1293530/
